Year,Pick,Team,Player,Position
1991,28,CHH,Kevin Lynch,Shooting
1991,29,MIA,George Ackles,Unknown
1991,30,ATL,Rodney Monroe,Shooting
1991,31,SAC,Randy Brown,Point
1991,32,PHO,Chad Gallagher,Center
1991,33,DAL,Donald Hodge,Center
1991,34,MIN,Myron Brown,Point
1991,35,DAL,Mike Iuzzolino,Point
1991,36,ORL,Chris Corchiani,Point
1991,37,LAC,Elliot Perry,Point
1991,38,LAC,Joe Wylie,Unknown
1991,39,CLE,Jimmy Oliver,Shooting
1991,40,DET,Doug Overton,Point
1991,41,IND,Sean Green,Shooting
1991,42,SAC,Steve Hood,Unknown
1991,43,GSW,Lamont Strothers,Shooting
1991,44,PHI,Alvaro Teheran,Unknown
1991,45,MIL,Bobby Phills,Shooting
1991,46,PHO,Richard Dumas,Small
1991,47,HOU,Keith Hughes,Unknown
1991,48,UTA,Isaac Austin,Center
1991,49,SAS,Greg Sutton,Point
1991,50,PHO,Joey Wright,Unknown
1991,51,HOU,Žan Tabak,Center
1991,52,LAL,Anthony Jones,Unknown
1991,53,NJN,Von McDade,Unknown
1991,54,POR,Marcus Kennedy,Unknown
1992,1,ORL,Shaquille O'Neal,Center
1992,2,CHH,Alonzo Mourning,Center
1992,3,MIN,Christian Laettner,Power
1992,4,DAL,Jim Jackson,Small
1992,5,DEN,LaPhonso Ellis,Power
1992,6,WSB,Tom Gugliotta,Power
1992,7,SAC,Walt Williams,Small
1992,8,MIL,Todd Day,Shooting
1992,9,PHI,Clarence Weatherspoon,Power
1992,10,ATL,Adam Keefe,Power
1992,11,HOU,Robert Horry,Power
1992,12,MIA,Harold Miner,Shooting
1992,13,DEN,Bryant Stith,Shooting
1992,14,IND,Malik Sealy,Small
1992,15,LAL,Anthony Peeler,Shooting
1992,16,LAC,Randy Woods,Point
1992,17,SEA,Doug Christie,Shooting
1992,18,SAS,Tracy Murray,Small
1992,19,DET,Don MacLean,Small
1992,20,NYK,Hubert Davis,Shooting
1992,21,BOS,Jon Barry,Shooting
1992,22,PHO,Oliver Miller,Center
1992,23,MIL,Lee Mayberry,Point
1992,24,GSW,Latrell Sprewell,Small
1992,25,LAC,Elmore Spencer,Center
1992,26,POR,Dave Johnson,Shooting
1992,27,CHI,Byron Houston,Power
1992,28,MIN,Marlon Maxey,Power
1992,29,NJN,P.J. Brown,Power
1992,30,DAL,Sean Rooks,Center
1992,31,POR,Reggie Smith,Power
1992,32,WSB,Brent Price,Point
1992,33,CHI,Corey Williams,Point
1992,34,MIN,Chris Smith,Shooting
1992,35,CHH,Tony Bennett,Point
1992,36,LAL,Duane Cooper,Point
1992,37,MIA,Isaiah Morris,Small
1992,38,ATL,Elmer Bennett,Point
1992,39,CHI,Litterial Green,Point
1992,40,NJN,Steve Rogers,Unknown
1992,41,HOU,Popeye Jones,Power
1992,42,MIA,Matt Geiger,Center
1992,43,GSW,Sasha Danilović,Shooting
1992,44,SAS,Henry Williams,Unknown
1992,45,SEA,Chris King,Small
1992,46,DEN,Robert Werdann,Center
1992,47,BOS,Darren Morningstar,Center
1992,48,PHO,Brian Davis,Small
1992,49,PHO,Ron Ellis,Unknown
1992,50,GSW,Matt Fish,Center
1992,51,MIN,Tim Burroughs,Unknown
1992,52,CHI,Matt Steigenga,Small
1992,53,HOU,Curtis Blair,Unknown
1992,54,SAC,Brett Roberts,Unknown
1993,1,ORL,Chris Webber,Power
1993,2,PHI,Shawn Bradley,Center
1993,3,GSW,Anfernee Hardaway,Shooting
1993,4,DAL,Jamal Mashburn,Small
1993,5,MIN,Isaiah Rider,Shooting
1993,6,WSB,Calbert Cheaney,Shooting
1993,7,SAC,Bobby Hurley,Point
1993,8,MIL,Vin Baker,Power
1993,9,DEN,Rodney Rogers,Small
1993,10,DET,Lindsey Hunter,Point
1993,11,DET,Allan Houston,Shooting
1993,12,LAL,George Lynch,Small
1993,13,LAC,Terry Dehere,Point
1993,14,IND,Scott Haskin,Center
1993,15,ATL,Doug Edwards,Power
1993,16,NJN,Rex Walters,Shooting
1993,17,CHH,Greg Graham,Shooting
1993,18,UTA,Luther Wright,Center
1993,19,BOS,Acie Earl,Center
1993,20,CHH,Scott Burrell,Small
1993,21,POR,James Robinson,Point
1993,22,CLE,Chris Mills,Small
1993,23,SEA,Ervin Johnson,Center
1993,24,HOU,Sam Cassell,Point
1993,25,CHI,Corie Blount,Power
1993,26,ORL,Geert Hammink,Center
1993,27,PHO,Malcolm Mackey,Center
1993,28,DAL,Lucious Harris,Shooting
1993,29,MIN,Sherron Mills,Unknown
1993,30,WSB,Gheorghe Mureșan,Center
1993,31,SAC,Evers Burns,Power
1993,32,PHI,Alphonso Ford,Shooting
1993,33,DAL,Eric Riley,Center
1993,34,GSW,Darnell Mee,Shooting
1993,35,MIA,Ed Stokes,Center
1993,36,NJN,John Best,Unknown
1993,37,LAL,Nick Van Exel,Point
1993,38,WSB,Conrad McRae,Unknown
