Year,Pick,Team,Player,Position
2000,53,DEN,Dan McClintock,Center
2000,54,SAS,Corey Hightower,Unknown
2000,55,GSW,Chris Porter,Small
2000,56,IND,Jaquay Walls,Unknown
2000,57,ATL,Scoonie Penn,Unknown
2000,58,DAL,Pete Mickeal,Unknown
2001,1,WAS,Kwame Brown,Center
2001,2,LAC,Tyson Chandler,Center
2001,3,ATL,Pau Gasol,Center
2001,4,CHI,Eddy Curry,Center
2001,5,GSW,Jason Richardson,Shooting
2001,6,MEM,Shane Battier,Small
2001,7,NJN,Eddie Griffin,Power
2001,8,CLE,DeSagana Diop,Center
2001,9,DET,Rodney White,Small
2001,10,BOS,Joe Johnson,Shooting
2001,11,BOS,Kedrick Brown,Small
2001,12,SEA,Vladimir Radmanović,Power
2001,13,HOU,Richard Jefferson,Small
2001,14,GSW,Troy Murphy,Power
2001,15,ORL,Steven Hunter,Center
2001,16,CHH,Kirk Haston,Small
2001,17,TOR,Michael Bradley,Power
2001,18,HOU,Jason Collins,Center
2001,19,POR,Zach Randolph,Power
2001,20,CLE,Brendan Haywood,Center
2001,21,BOS,Joseph Forte,Shooting
2001,22,ORL,Jeryl Sasser,Shooting
2001,23,HOU,Brandon Armstrong,Shooting
2001,24,UTA,Raül López,Point
2001,25,SAC,Gerald Wallace,Small
2001,26,PHI,Samuel Dalembert,Center
2001,27,MEM,Jamaal Tinsley,Point
2001,28,SAS,Tony Parker,Point
2001,30,CHI,Trenton Hassell,Shooting
2001,31,GSW,Gilbert Arenas,Point
2001,32,ORL,Omar Cook,Point
2001,33,MEM,Will Solomon,Point
2001,34,ATL,Terence Morris,Small
2001,35,NJN,Brian Scalabrine,Power
2001,36,CLE,Jeff Trepagnier,Shooting
2001,37,PHI,Damone Brown,Small
2001,38,DET,Mehmet Okur,Center
2001,39,NYK,Michael Wright,Unknown
2001,40,SEA,Earl Watson,Point
2001,41,IND,Jamison Brewer,Point
2001,42,SEA,Bobby Simmons,Small
2001,43,NYK,Eric Chenowith,Unknown
2001,44,DAL,Kyle Hill,Unknown
2001,45,CHI,Sean Lampley,Small
2001,46,MIN,Loren Woods,Center
2001,47,DEN,Ousmane Cisse,Unknown
2001,48,MEM,Antonis Fotsis,Power
2001,49,MIA,Ken Johnson,Center
2001,50,POR,Ruben Boumtje-Boumtje,Center
2001,51,PHO,Alton Ford,Power
2001,52,MIL,Andre Hutson,Unknown
2001,53,UTA,Jarron Collins,Center
2001,54,DAL,Kenny Satterfield,Point
2001,55,SAC,Maurice Jeffers,Unknown
2001,56,SAS,Robertas Javtokas,Center
2001,57,PHI,Alvin Jones,Center
2001,58,SAS,Bryan Bracey,Unknown
2002,1,HOU,Yao Ming,Center
2002,2,CHI,Jay Williams,Point
2002,3,GSW,Mike Dunleavy,Small
2002,4,MEM,Drew Gooden,Power
2002,5,DEN,Nikoloz Tskitishvili,Power
2002,6,CLE,Dajuan Wagner,Shooting
2002,7,NYK,Nenê,Center
2002,8,LAC,Chris Wilcox,Center
2002,9,PHO,Amar'e Stoudemire,Power
2002,10,MIA,Caron Butler,Small
2002,11,WAS,Jared Jeffries,Power
2002,12,LAC,Melvin Ely,Center
2002,13,MIL,Marcus Haislip,Power
2002,14,IND,Fred Jones,Shooting
2002,15,HOU,Boštjan Nachbar,Small
2002,16,PHI,Jiří Welsch,Small
2002,17,WAS,Juan Dixon,Shooting
2002,18,ORL,Curtis Borchardt,Center
2002,19,UTA,Ryan Humphrey,Power
2002,20,TOR,Kareem Rush,Shooting
2002,21,POR,Qyntel Woods,Small
2002,22,PHO,Casey Jacobsen,Small
2002,23,DET,Tayshaun Prince,Small
2002,24,NJN,Nenad Krstić,Center
2002,25,DEN,Frank Williams,Point
2002,26,SAS,John Salmons,Shooting
2002,27,LAL,Chris Jefferies,Small
2002,28,SAC,Dan Dickau,Point
2002,30,GSW,Steve Logan,Unknown
2002,31,CHI,Roger Mason,Shooting
2002,32,MEM,Robert Archibald,Power
2002,33,DEN,Vincent Yarbrough,Shooting
2002,34,MIL,Dan Gadzuric,Center
2002,35,CLE,Carlos Boozer,Power
2002,36,NYK,Milos Vujanic,Unknown
2002,37,ATL,David Andersen,Power
2002,38,HOU,Tito Maddox,Shooting
2002,39,WAS,Rod Grizzard,Unknown
2002,40,WAS,Juan Carlos Navarro,Shooting
2002,41,LAC,Mario Kasun,Center
2002,42,MIL,Ronald Murray,Shooting
2002,43,POR,Jason Jennings,Unknown
2002,44,CHI,Lonny Baxter,Power
2002,45,PHI,Sam Clancy,Unknown
2002,46,MEM,Matt Barnes,Small
2002,47,UTA,Jamal Sampson,Power
2002,48,MIL,Chris Owens,Small
2002,49,SEA,Peter Fehse,Unknown
2002,50,BOS,Darius Songaila,Power
2002,51,POR,Federico Kammerichs,Forward
2002,52,MIN,Marcus Taylor,Unknown
2002,53,MIA,Rasual Butler,Small
2002,54,NJN,Tamar Slay,Shooting
2002,55,DAL,Mladen Sekularac,Unknown
2002,56,SAS,Luis Scola,Power
2002,57,SAS,Randy Holcomb,Small
2002,58,SAC,Corsley Edwards,Center
2003,1,CLE,LeBron James,Small
2003,2,DET,Darko Miličić,Center
2003,3,DEN,Carmelo Anthony,Small
2003,4,TOR,Chris Bosh,Center
2003,5,MIA,Dwyane Wade,Shooting
2003,6,LAC,Chris Kaman,Center
2003,7,CHI,Kirk Hinrich,Point
2003,8,MIL,T.J. Ford,Point
2003,9,NYK,Mike Sweetney,Center
2003,10,WAS,Jarvis Hayes,Small
2003,11,GSW,Mickaël Piétrus,Small
2003,12,SEA,Nick Collison,Power
2003,13,MEM,Marcus Banks,Point
2003,14,SEA,Luke Ridnour,Point
2003,15,ORL,Reece Gaines,Point
2003,16,BOS,Troy Bell,Point
2003,17,PHO,Žarko Čabarkapa,Power
2003,18,NOH,David West,Power
2003,19,UTA,Sasha Pavlović,Shooting
2003,20,BOS,Dahntay Jones,Small
2003,21,ATL,Boris Diaw,Power
2003,22,NJN,Zoran Planinić,Point
2003,23,POR,Travis Outlaw,Small
2003,24,LAL,Brian Cook,Power
2003,25,DET,Carlos Delfino,Small
2003,26,MIN,Ndudi Ebi,Shooting
2003,27,MEM,Kendrick Perkins,Center
2003,28,SAS,Leandro Barbosa,Shooting
2003,29,DAL,Josh Howard,Small
2003,30,NYK,Maciej Lampe,Center
2003,31,CLE,Jason Kapono,Small
2003,32,LAL,Luke Walton,Small
2003,33,MIA,Jerome Beasley,Power
2003,34,LAC,Sofoklis Schortsanitis,Center
2003,35,MIL,Szymon Szewczyk,Forward/Center
2003,36,CHI,Mario Austin,Forward/Center
2003,37,ATL,Travis Hansen,Small
2003,38,WAS,Steve Blake,Point
2003,39,NYK,Slavko Vraneš,Center
2003,40,GSW,Derrick Zimmerman,Point
2003,41,SEA,Willie Green,Shooting
2003,42,ORL,Zaza Pachulia,Center
2003,43,MIL,Keith Bogans,Shooting
2003,44,HOU,Malick Badiane,Unknown
2003,45,CHI,Matt Bonner,Power
2003,46,DEN,Sani Bečirovič,Guard
2003,47,UTA,Mo Williams,Point
2003,48,NOH,James Lang,Center
2003,49,IND,James Jones,Small
2003,50,PHI,Paccelis Morlende,Guard
2003,51,NJN,Kyle Korver,Shooting
2003,52,TOR,Ramon Van de Hare,Unknown
2003,53,CHI,Tommy Smith,Unknown
2003,54,POR,Nedžad Sinanović,Center
2003,55,MIN,Rick Rickert,Unknown
2003,56,BOS,Brandon Hunter,Power
2003,57,DAL,Xue Yuyang,Forward/Center
2003,58,DET,Andreas Glyniadakis,Center
2004,1,ORL,Dwight Howard,Center
2004,2,CHA,Emeka Okafor,Center
2004,3,CHI,Ben Gordon,Shooting
2004,4,LAC,Shaun Livingston,Point
2004,5,WAS,Devin Harris,Point
2004,6,ATL,Josh Childress,Small
2004,7,PHO,Luol Deng,Small
2004,8,TOR,Rafael Araújo,Center
2004,9,PHI,Andre Iguodala,Small
2004,10,CLE,Luke Jackson,Small
2004,11,GSW,Andris Biedriņš,Center
2004,12,SEA,Robert Swift,Center
2004,13,POR,Sebastian Telfair,Point
2004,14,UTA,Kris Humphries,Power
2004,15,BOS,Al Jefferson,Center
2004,16,UTA,Kirk Snyder,Shooting
2004,17,ATL,Josh Smith,Power
2004,18,NOH,J.R. Smith,Shooting
2004,19,MIA,Dorell Wright,Small
2004,20,DEN,Jameer Nelson,Point
2004,21,UTA,Pavel Podkolzin,Center
2004,22,NJN,Viktor Khryapa,Small
2004,23,POR,Sergei Monia,Small
2004,24,BOS,Delonte West,Point
2004,25,BOS,Tony Allen,Shooting
2004,26,SAC,Kevin Martin,Shooting
2004,27,LAL,Sasha Vujačić,Shooting
2004,28,SAS,Beno Udrih,Point
2004,29,IND,David Harrison,Center
2004,30,ORL,Anderson Varejão,Center
2004,31,CHI,Jackson Vroman,Power
2004,32,WAS,Peter John Ramos,Center
2004,33,LAC,Lionel Chalmers,Point
2004,34,ATL,Donta Smith,Shooting
2004,35,SEA,Andre Emmett,Shooting
2004,36,ORL,Antonio Burks,Point
2004,37,ATL,Royal Ivey,Shooting
2004,38,CHI,Chris Duhon,Point
2004,39,TOR,Albert Miralles,Center
2004,40,BOS,Justin Reed,Small
2004,41,SEA,David Young,Unknown
2004,42,ATL,Viktor Sanikidze,Forward
2004,43,NYK,Trevor Ariza,Small
2004,44,NOH,Tim Pickett,Unknown
2004,45,CHA,Bernard Robinson,Shooting
2004,46,POR,Ha Seung-Jin,Center
2004,47,MIA,Pape Sow,Center
2004,48,SAC,Ricky Minard,Unknown
2004,49,MEM,Sergei Lishouk,Center/Forward
2004,50,DAL,Vassilis Spanoulis,Shooting
2004,51,NJN,Christian Drejer,Unknown
2004,52,SAS,Romain Sato,Unknown
2004,53,MIA,Matt Freije,Power
2004,54,DET,Rickey Paulding,Unknown
2004,55,HOU,Luis Flores,Point
2004,56,LAL,Marcus Douthit,Unknown
2004,57,SAS,Sergei Karaulov,Center
2004,58,MIN,Blake Stepp,Unknown
2004,59,IND,Rashad Wright,Unknown
2005,1,MIL,Andrew Bogut,Center
2005,2,ATL,Marvin Williams,Power
2005,3,UTA,Deron Williams,Point
2005,4,NOH,Chris Paul,Point
2005,5,CHA,Raymond Felton,Point
2005,6,POR,Martell Webster,Small
2005,7,TOR,Charlie Villanueva,Power
2005,8,NYK,Channing Frye,Center
2005,9,GSW,Ike Diogu,Power
2005,10,LAL,Andrew Bynum,Center
2005,11,ORL,Fran Vázquez,Unknown
2005,12,LAC,Yaroslav Korolev,Small
2005,13,CHA,Sean May,Power
2005,14,MIN,Rashad McCants,Shooting
2005,15,NJN,Antoine Wright,Shooting
2005,16,TOR,Joey Graham,Small
2005,17,IND,Danny Granger,Small
2005,18,BOS,Gerald Green,Shooting
2005,19,MEM,Hakim Warrick,Power
2005,20,DEN,Julius Hodge,Shooting
2005,21,PHO,Nate Robinson,Point
2005,22,DEN,Jarrett Jack,Point
2005,23,SAC,Francisco García,Small
2005,24,HOU,Luther Head,Shooting
2005,25,SEA,Johan Petro,Center
2005,26,DET,Jason Maxiell,Power
2005,27,POR,Linas Kleiza,Small
2005,28,SAS,Ian Mahinmi,Center
2005,29,MIA,Wayne Simien,Power
2005,30,NYK,David Lee,Power
2005,31,ATL,Salim Stoudamire,Shooting
2005,32,LAC,Daniel Ewing,Shooting
2005,33,NOH,Brandon Bass,Power
2005,34,UTA,C.J. Miles,Small
2005,35,POR,Ricky Sánchez,Forward/Center
2005,36,MIL,Ersan İlyasova,Power
2005,37,LAL,Ronny Turiaf,Center
2005,38,ORL,Travis Diener,Point
2005,39,LAL,Von Wafer,Shooting
2005,40,GSW,Monta Ellis,Shooting
2005,41,TOR,Roko Ukić,Point
2005,42,GSW,Chris Taft,Center
2005,43,NJN,Mile Ilić,Center
2005,44,ORL,Martynas Andriuškevičius,Center
2005,45,PHI,Lou Williams,Shooting
2005,46,IND,Erazem Lorbek,Forward
2005,47,MIN,Bracey Wright,Shooting
2005,48,SEA,Mickaël Gelabale,Small
2005,49,WAS,Andray Blatche,Power
2005,50,BOS,Ryan Gomes,Small
2005,51,UTA,Robert Whaley,Center
2005,52,DEN,Axel Hervelle,Forward
2005,53,BOS,Orien Greene,Shooting
2005,54,NYK,Dijon Thompson,Shooting
2005,55,SEA,Lawrence Roberts,Power
2005,56,DET,Amir Johnson,Power
2005,57,PHO,Marcin Gortat,Center
2005,58,TOR,Uroš Slokar,Center
2005,59,ATL,Cenk Akyol,Guard
2005,60,DET,Alex Acker,Shooting
2006,1,TOR,Andrea Bargnani,Power
2006,2,CHI,LaMarcus Aldridge,Power
2006,3,CHA,Adam Morrison,Small
2006,4,POR,Tyrus Thomas,Power
2006,5,ATL,Shelden Williams,Power
2006,6,MIN,Brandon Roy,Shooting
2006,7,BOS,Randy Foye,Shooting
2006,8,HOU,Rudy Gay,Small
2006,9,GSW,Patrick O'Bryant,Center
2006,10,SEA,Mouhamed Sene,Center
2006,11,ORL,J.J. Redick,Shooting
2006,12,NOK,Hilton Armstrong,Center
2006,13,PHI,Thabo Sefolosha,Shooting
2006,14,UTA,Ronnie Brewer,Shooting
2006,15,NOK,Cedric Simmons,Power
2006,16,CHI,Rodney Carney,Small
2006,17,IND,Shawne Williams,Small
2006,18,WAS,Oleksiy Pecherov,Center
2006,19,SAC,Quincy Douby,Point
2006,20,NYK,Renaldo Balkman,Small
2006,21,PHO,Rajon Rondo,Point
2006,22,NJN,Marcus Williams,Point
2006,23,NJN,Josh Boone,Power
2006,24,MEM,Kyle Lowry,Point
2006,25,CLE,Shannon Brown,Shooting
2006,26,LAL,Jordan Farmar,Point
2006,27,PHO,Sergio Rodríguez,Point
2006,28,DAL,Maurice Ager,Shooting
2006,29,NYK,Mardy Collins,Shooting
2006,30,POR,Joel Freeland,Center
2006,31,POR,James White,Small
2006,32,HOU,Steve Novak,Small
2006,33,ATL,Solomon Jones,Power
2006,34,LAC,Paul Davis,Power
2006,35,TOR,P.J. Tucker,Small
2006,36,MIN,Craig Smith,Power
2006,37,MIN,Bobby Jones,Small
2006,38,GSW,Kosta Perović,Center
2006,39,MIL,David Noel,Power
2006,40,SEA,Denham Brown,Unknown
2006,41,ORL,James Augustine,Power
2006,42,CLE,Daniel Gibson,Point
2006,43,NOK,Marcus Vinicius,Small
2006,44,ORL,Lior Eliyahu,Forward
2006,45,IND,Alexander Johnson,Power
2006,46,UTA,Dee Brown,Point
2006,47,UTA,Paul Millsap,Power
2006,48,WAS,Vladimir Veremeenko,Forward
2006,49,DEN,Leon Powe,"Center,"
2006,50,CHA,Ryan Hollins,Center
2006,51,LAL,Cheikh Samb,Center
2006,52,LAC,Guillermo Díaz,Shooting
2006,53,SEA,Yotam Halperin,Guard
2006,54,NJN,Hassan Adams,Shooting
2006,55,CLE,Ejike Ugboaja,Forward
2006,56,TOR,Edin Bavčić,Center/Forward
2006,57,MIN,Loukas Mavrokefalidis,Unknown
2006,58,DAL,J.R. Pinnock,Unknown
2006,59,SAS,Damir Markota,Power
2006,60,DET,Will Blalock,Point
2007,1,POR,Greg Oden,Center
2007,2,SEA,Kevin Durant,Small
2007,3,ATL,Al Horford,Center
2007,4,MEM,Mike Conley,Point
2007,5,BOS,Jeff Green,Power
2007,6,MIL,Yi Jianlian,Power
2007,7,MIN,Corey Brewer,Small
2007,8,CHA,Brandan Wright,Power
2007,9,CHI,Joakim Noah,Center
2007,10,SAC,Spencer Hawes,Center
2007,11,ATL,Acie Law,Point
2007,12,PHI,Thaddeus Young,Power
2007,13,NOK,Julian Wright,Small
2007,14,LAC,Al Thornton,Small
2007,15,DET,Rodney Stuckey,Point
2007,16,WAS,Nick Young,Shooting
2007,17,NJN,Sean Williams,Center
2007,18,GSW,Marco Belinelli,Shooting
2007,19,LAL,Javaris Crittenton,Shooting
2007,20,MIA,Jason Smith,Center
2007,21,PHI,Daequan Cook,Shooting
2007,22,CHA,Jared Dudley,Power
2007,23,NYK,Wilson Chandler,Small
2007,24,PHO,Rudy Fernández,Shooting
2007,25,UTA,Morris Almond,Shooting
2007,26,HOU,Aaron Brooks,Point
2007,27,DET,Arron Afflalo,Shooting
2007,28,SAS,Tiago Splitter,Center
2007,29,PHO,Alando Tucker,Small
2007,30,PHI,Petteri Koponen,Guard
2007,31,SEA,Carl Landry,Power
2007,32,BOS,Gabe Pruitt,Shooting
2007,33,SAS,Marcus Williams,Power
2007,34,DAL,Nick Fazekas,Power
2007,35,SEA,Glen Davis,Power
2007,36,GSW,Jermareo Davidson,Small
2007,37,POR,Josh McRoberts,Power
2007,38,PHI,Kyrylo Fesenko,Center
2007,39,MIA,Stanko Barać,Center
2007,40,LAL,Sun Yue,Shooting
2007,41,MIN,Chris Richard,Power
2007,42,POR,Derrick Byars,Power
2007,43,NOK,Adam Haluska,Unknown
2007,44,ORL,Reyshawn Terry,Unknown
2007,45,LAC,Jared Jordan,Unknown
2007,46,GSW,Stéphane Lasme,Small
2007,47,WAS,Dominic McGuire,Small
2007,48,LAL,Marc Gasol,Center
2007,49,CHI,Aaron Gray,Center
2007,50,DAL,Renaldas Seibutis,Guard
2007,51,CHI,JamesOn Curry,Point
2007,52,POR,Taurean Green,Shooting
2007,53,POR,Demetris Nichols,Small
2007,54,HOU,Brad Newley,Forward/Guard
2007,55,UTA,Herbert Hill,Unknown
2007,56,MIL,Ramon Sessions,Point
2007,57,DET,Sammy Mejia,Unknown
2007,58,SAS,Georgios Printezis,Forward
2007,59,PHO,D.J. Strawberry,Shooting
2007,60,DAL,Milovan Raković,Center
2008,1,CHI,Derrick Rose,Point
2008,2,MIA,Michael Beasley,Power
2008,3,MIN,O.J. Mayo,Shooting
2008,4,SEA,Russell Westbrook,Point
2008,5,MEM,Kevin Love,Power
2008,6,NYK,Danilo Gallinari,Small
2008,7,LAC,Eric Gordon,Shooting
2008,8,MIL,Joe Alexander,Small
2008,9,CHA,D.J. Augustin,Point
2008,10,NJN,Brook Lopez,Center
2008,11,IND,Jerryd Bayless,Point
2008,12,SAC,Jason Thompson,Power
2008,13,POR,Brandon Rush,Shooting
2008,14,GSW,Anthony Randolph,Power
2008,15,PHO,Robin Lopez,Center
2008,16,PHI,Marreese Speights,Center
2008,17,TOR,Roy Hibbert,Center
2008,18,WAS,JaVale McGee,Center
2008,19,CLE,J.J. Hickson,Center
2008,20,CHA,Alexis Ajinça,Center
2008,21,NJN,Ryan Anderson,Power
2008,22,ORL,Courtney Lee,Shooting
2008,23,UTA,Kosta Koufos,Center
2008,24,SEA,Serge Ibaka,Power
2008,25,HOU,Nicolas Batum,Small
2008,26,SAS,George Hill,Point
2008,27,NOH,Darrell Arthur,Power
2008,28,MEM,Donté Greene,Small
2008,29,DET,D.J. White,Power
2008,30,BOS,J.R. Giddens,Small
2008,31,MIN,Nikola Peković,Center
2008,32,SEA,Walter Sharpe,Power
2008,33,POR,Joey Dorsey,Power
2008,34,MIN,Mario Chalmers,Point
2008,35,LAC,DeAndre Jordan,Center
2008,36,POR,Ömer Aşık,Center
2008,37,MIL,Luc Mbah a Moute,Power
2008,38,CHA,Kyle Weaver,Shooting
2008,39,CHI,Sonny Weems,Shooting
2008,40,NJN,Chris Douglas-Roberts,Shooting
2008,41,IND,Nathan Jawai,Power
2008,42,SAC,Sean Singletary,Point
2008,43,SAC,Patrick Ewing,Small
2008,44,UTA,Ante Tomić,Center
2008,45,SAS,Goran Dragić,Point
2008,46,SEA,Trent Plaisted,Unknown
2008,47,WAS,Henry Walker,Shooting
2008,48,PHO,Malik Hairston,Shooting
2008,49,GSW,Richard Hendrix,Unknown
2008,50,SEA,DeVon Hardin,Center
2008,51,DAL,Shan Foster,Unknown
2008,52,MIA,Darnell Jackson,Power
2008,53,UTA,Tadija Dragićević,Forward
2008,54,HOU,Maarty Leunen,Forward
2008,55,POR,Mike Taylor,Point
2008,56,SEA,Sasha Kaun,Center
2008,57,SAS,James Gist,Unknown
2008,58,LAL,Joe Crawford,Small
2008,59,DET,Deron Washington,Unknown
2008,60,BOS,Semih Erden,Center
2009,1,LAC,Blake Griffin,Power
2009,2,MEM,Hasheem Thabeet,Center
2009,3,OKC,James Harden,Shooting
2009,4,SAC,Tyreke Evans,Shooting
2009,5,MIN,Ricky Rubio,Point
2009,6,MIN,Jonny Flynn,Point
2009,7,GSW,Stephen Curry,Point
2009,8,NYK,Jordan Hill,Center
2009,9,TOR,DeMar DeRozan,Shooting
2009,10,MIL,Brandon Jennings,Point
2009,11,NJN,Terrence Williams,Shooting
2009,12,CHA,Gerald Henderson,Shooting
2009,13,IND,Tyler Hansbrough,Power
2009,14,PHO,Earl Clark,Power
2009,15,DET,Austin Daye,Small
2009,16,CHI,James Johnson,Power
2009,17,PHI,Jrue Holiday,Point
2009,18,MIN,Ty Lawson,Point
2009,19,ATL,Jeff Teague,Point
2009,20,UTA,Eric Maynor,Point
2009,21,NOH,Darren Collison,Point
2009,22,POR,Victor Claver,Small
2009,23,SAC,Omri Casspi,Small
2009,24,DAL,Byron Mullens,Power
2009,25,OKC,Rodrigue Beaubois,Point
2009,26,CHI,Taj Gibson,Power
2009,27,MEM,DeMarre Carroll,Small
2009,28,MIN,Wayne Ellington,Shooting
2009,29,LAL,Toney Douglas,Point
2009,30,CLE,Christian Eyenga,Small
2009,31,SAC,Jeff Ayres,Power
2009,32,WAS,Jermaine Taylor,Shooting
2009,33,POR,Dante Cunningham,Power
2009,34,DEN,Sergio Llull,Guard
2009,35,DET,DaJuan Summers,Small
2009,36,MEM,Sam Young,Small
2009,37,SAS,DeJuan Blair,Power
2009,38,POR,Jon Brockman,Power
2009,39,DET,Jonas Jerebko,Power
2009,40,CHA,Derrick Brown,Small
2009,41,MIL,Jodie Meeks,Shooting
2009,42,LAL,Patrick Beverley,Point
2009,43,MIA,Marcus Thornton,Shooting
2009,44,DET,Chase Budinger,Small
2009,45,MIN,Nick Calathes,Shooting
2009,46,CLE,Danny Green,Shooting
2009,47,MIN,Henk Norel,Forward/Center
2009,48,PHO,Taylor Griffin,Small
2009,49,ATL,Sergiy Gladyr,Guard
2009,50,UTA,Goran Suton,Unknown
2009,51,SAS,Jack McClinton,Unknown
2009,52,IND,A.J. Price,Point
2009,53,SAS,Nando De Colo,Small
2009,54,CHA,Robert Vaden,Unknown
2009,55,POR,Patty Mills,Point
2009,56,DAL,Ahman Nivins,Unknown
2009,57,PHO,Emir Preldžić,Forward/Guard
2009,58,BOS,Lester Hudson,Point
2009,59,LAL,Chinemelu Elonu,Center/Forward
2009,60,MIA,Robert Dozier,Unknown
2010,1,WAS,John Wall,Point
2010,2,PHI,Evan Turner,Small
2010,3,NJN,Derrick Favors,Power
2010,4,MIN,Wesley Johnson,Small
2010,5,SAC,DeMarcus Cousins,Center
2010,6,GSW,Ekpe Udoh,Center
2010,7,DET,Greg Monroe,Center
2010,8,LAC,Al-Farouq Aminu,Small
2010,9,UTA,Gordon Hayward,Small
2010,10,IND,Paul George,Small
2010,11,NOH,Cole Aldrich,Center
2010,12,MEM,Xavier Henry,Small
2010,13,TOR,Ed Davis,Power
2010,14,HOU,Patrick Patterson,Power
2010,15,MIL,Larry Sanders,Center
2010,16,MIN,Luke Babbitt,Small
2010,17,CHI,Kevin Séraphin,Center
2010,18,OKC,Eric Bledsoe,Point
2010,19,BOS,Avery Bradley,Shooting
2010,20,SAS,James Anderson,Shooting
2010,21,OKC,Craig Brackins,Power
2010,22,POR,Elliot Williams,Shooting
2010,23,MIN,Trevor Booker,Power
2010,24,ATL,Damion James,Small
2010,25,MEM,Dominique Jones,Shooting
2010,26,OKC,Quincy Pondexter,Small
2010,27,NJN,Jordan Crawford,Shooting
2010,28,MEM,Greivis Vásquez,Point
2010,29,ORL,Daniel Orton,Center
2010,30,WAS,Lazar Hayward,Small
2010,31,NJN,Tibor Pleiß,Center
2010,32,MIA,Dexter Pittman,Center
2010,33,SAC,Hassan Whiteside,Center
2010,34,POR,Armon Johnson,Point
2010,35,WAS,Nemanja Bjelica,Power
2010,36,DET,Terrico White,Unknown
2010,37,MIL,Darington Hobson,Shooting
2010,38,NYK,Andy Rautins,Shooting
2010,39,NYK,Landry Fields,Small
2010,40,IND,Lance Stephenson,Shooting
2010,41,MIA,Jarvis Varnado,Power
2010,42,MIA,Da'Sean Butler,Unknown
2010,43,LAL,Devin Ebanks,Shooting
2010,44,MIL,Jerome Jordan,Center
2010,45,MIN,Paulão Prestes,Center
2010,46,PHO,Gani Lawal,Power
2010,47,MIL,Tiny Gallon,Unknown
2010,48,MIA,Latavious Williams,Forward
2010,49,SAS,Ryan Richards,Forward/Center
2010,50,DAL,Solomon Alabi,Center
2010,51,OKC,Magnum Rolle,Unknown
2010,52,BOS,Luke Harangody,Power
2010,53,ATL,Pape Sy,Small
2010,54,LAC,Willie Warren,Point
2010,55,UTA,Jeremy Evans,Small
2010,56,MIN,Hamady N'Diaye,Center
2010,57,IND,Ryan Reid,Power
2010,58,LAL,Derrick Caracter,Center
2010,59,ORL,Stanley Robinson,Unknown
2010,60,PHO,Dwayne Collins,Forward
2011,1,CLE,Kyrie Irving,Point
2011,2,MIN,Derrick Williams,Power
2011,3,UTA,Enes Kanter,Center
2011,4,CLE,Tristan Thompson,Power
2011,5,TOR,Jonas Valančiūnas,Center
2011,6,WAS,Jan Veselý,Power
2011,7,SAC,Bismack Biyombo,Center
2011,8,DET,Brandon Knight,Point
2011,9,CHA,Kemba Walker,Point
2011,10,MIL,Jimmer Fredette,Shooting
2011,11,GSW,Klay Thompson,Shooting
2011,12,UTA,Alec Burks,Shooting
2011,13,PHO,Markieff Morris,Power
2011,14,HOU,Marcus Morris,Power
2011,15,IND,Kawhi Leonard,Small
2011,16,PHI,Nikola Vučević,Center
2011,17,NYK,Iman Shumpert,Shooting
2011,18,WAS,Chris Singleton,Small
2011,19,CHA,Tobias Harris,Power
2011,20,MIN,Donatas Motiejūnas,Power
2011,21,POR,Nolan Smith,Point
2011,22,DEN,Kenneth Faried,Power
2011,23,HOU,Nikola Mirotić,Power
2011,24,OKC,Reggie Jackson,Point
2011,25,BOS,MarShon Brooks,Shooting
2011,26,DAL,Jordan Hamilton,Small
2011,27,NJN,JaJuan Johnson,Power
2011,28,CHI,Norris Cole,Point
2011,29,SAS,Cory Joseph,Point
2011,30,CHI,Jimmy Butler,Shooting
2011,31,MIA,Bojan Bogdanović,Small
2011,32,CLE,Justin Harper,Power
2011,33,DET,Kyle Singler,Small
2011,34,WAS,Shelvin Mack,Point
2011,35,SAC,Tyler Honeycutt,Small
2011,36,NJN,Jordan Williams,Center
2011,37,LAC,Trey Thompkins,Center
2011,38,HOU,Chandler Parsons,Small
2011,39,CHA,Jeremy Tyler,Center
2011,40,MIL,Jon Leuer,Power
2011,41,LAL,Darius Morris,Point
2011,42,IND,Dāvis Bertāns,Power
2011,43,CHI,Malcolm Lee,Shooting
2011,44,GSW,Charles Jenkins,Point
2011,45,NOH,Josh Harrellson,Center
2011,46,LAL,Andrew Goudelock,Shooting
2011,47,LAC,Travis Leslie,Shooting
2011,48,ATL,Keith Benson,Center
2011,49,MEM,Josh Selby,Point
2011,50,PHI,Lavoy Allen,Power
2011,51,POR,Jon Diebler,Guard
2011,52,DET,Vernon Macklin,Center
2011,53,ORL,DeAndre Liggins,Shooting
2011,54,CLE,Milan Mačvan,Forward/Center
2011,55,BOS,E'Twaun Moore,Shooting
2011,56,LAL,Chukwudiebere Maduabum,Forward
2011,57,DAL,Tanguy Ngombo,Unknown
2011,58,LAL,Ater Majok,Forward/Center
2011,59,SAS,Ádám Hanga,Guard
2011,60,SAC,Isaiah Thomas,Point
2012,1,NOH,Anthony Davis,Power
2012,2,CHA,Michael Kidd-Gilchrist,Small
2012,3,WAS,Bradley Beal,Shooting
2012,4,CLE,Dion Waiters,Shooting
2012,5,SAC,Thomas Robinson,Power
2012,6,POR,Damian Lillard,Point
