season,teams,lg,salary,link
1989-90,Sacramento Kings,NBA,"$2,400,000",https://www.basketball-reference.com//players/e/ellispe01.html
1990-91,Washington Bullets,NBA,"$2,300,000",https://www.basketball-reference.com//players/e/ellispe01.html
1991-92,Washington Bullets,NBA,"$2,300,000",https://www.basketball-reference.com//players/e/ellispe01.html
1992-93,Washington Bullets,NBA,"$2,300,000",https://www.basketball-reference.com//players/e/ellispe01.html
1993-94,Washington Bullets,NBA,"$2,300,000",https://www.basketball-reference.com//players/e/ellispe01.html
1994-95,Boston Celtics,NBA,"$1,100,000",https://www.basketball-reference.com//players/e/ellispe01.html
1995-96,Boston Celtics,NBA,"$1,430,000",https://www.basketball-reference.com//players/e/ellispe01.html
1996-97,Boston Celtics,NBA,"$1,760,000",https://www.basketball-reference.com//players/e/ellispe01.html
1997-98,Boston Celtics,NBA,"$2,090,000",https://www.basketball-reference.com//players/e/ellispe01.html
1998-99,Boston Celtics,NBA,"$2,420,000",https://www.basketball-reference.com//players/e/ellispe01.html
1999-00,Boston Celtics,NBA,"$2,750,000",https://www.basketball-reference.com//players/e/ellispe01.html
2000-01,Seattle SuperSonics,NBA,"$1,000,000",https://www.basketball-reference.com//players/e/ellispe01.html
1990-91,Cleveland Cavaliers,NBA,"$2,640,000",https://www.basketball-reference.com//players/f/ferryda01.html
1991-92,Cleveland Cavaliers,NBA,"$2,843,000",https://www.basketball-reference.com//players/f/ferryda01.html
1992-93,Cleveland Cavaliers,NBA,"$3,143,000",https://www.basketball-reference.com//players/f/ferryda01.html
1993-94,Cleveland Cavaliers,NBA,"$3,543,000",https://www.basketball-reference.com//players/f/ferryda01.html
1994-95,Cleveland Cavaliers,NBA,"$4,042,000",https://www.basketball-reference.com//players/f/ferryda01.html
1995-96,Cleveland Cavaliers,NBA,"$4,643,000",https://www.basketball-reference.com//players/f/ferryda01.html
1996-97,Cleveland Cavaliers,NBA,"$4,643,000",https://www.basketball-reference.com//players/f/ferryda01.html
1997-98,Cleveland Cavaliers,NBA,"$4,000,000",https://www.basketball-reference.com//players/f/ferryda01.html
1998-99,Cleveland Cavaliers,NBA,"$4,000,000",https://www.basketball-reference.com//players/f/ferryda01.html
1999-00,Cleveland Cavaliers,NBA,"$4,000,000",https://www.basketball-reference.com//players/f/ferryda01.html
2000-01,San Antonio Spurs,NBA,"$1,200,000",https://www.basketball-reference.com//players/f/ferryda01.html
2001-02,San Antonio Spurs,NBA,"$1,000,000",https://www.basketball-reference.com//players/f/ferryda01.html
2002-03,San Antonio Spurs,NBA,"$4,546,000",https://www.basketball-reference.com//players/f/ferryda01.html
1989-90,San Antonio Spurs,NBA,"$1,800,000",https://www.basketball-reference.com//players/e/elliose01.html
1990-91,San Antonio Spurs,NBA,"$1,800,000",https://www.basketball-reference.com//players/e/elliose01.html
1991-92,San Antonio Spurs,NBA,"$1,802,000",https://www.basketball-reference.com//players/e/elliose01.html
1992-93,San Antonio Spurs,NBA,"$1,802,000",https://www.basketball-reference.com//players/e/elliose01.html
1993-94,Detroit Pistons,NBA,"$1,807,000",https://www.basketball-reference.com//players/e/elliose01.html
1994-95,San Antonio Spurs,NBA,"$1,350,000",https://www.basketball-reference.com//players/e/elliose01.html
1995-96,San Antonio Spurs,NBA,"$5,333,000",https://www.basketball-reference.com//players/e/elliose01.html
1996-97,San Antonio Spurs,NBA,"$5,333,000",https://www.basketball-reference.com//players/e/elliose01.html
1997-98,San Antonio Spurs,NBA,"$5,333,333",https://www.basketball-reference.com//players/e/elliose01.html
1998-99,San Antonio Spurs,NBA,"$5,333,000",https://www.basketball-reference.com//players/e/elliose01.html
1999-00,San Antonio Spurs,NBA,"$5,433,333",https://www.basketball-reference.com//players/e/elliose01.html
2000-01,San Antonio Spurs,NBA,"$5,300,000",https://www.basketball-reference.com//players/e/elliose01.html
1989-90,Miami Heat,NBA,"$1,600,000",https://www.basketball-reference.com//players/r/ricegl01.html
1990-91,Miami Heat,NBA,"$1,550,000",https://www.basketball-reference.com//players/r/ricegl01.html
1991-92,Miami Heat,NBA,"$1,302,000",https://www.basketball-reference.com//players/r/ricegl01.html
1992-93,Miami Heat,NBA,"$1,552,000",https://www.basketball-reference.com//players/r/ricegl01.html
1993-94,Miami Heat,NBA,"$2,002,000",https://www.basketball-reference.com//players/r/ricegl01.html
1994-95,Miami Heat,NBA,"$2,600,000",https://www.basketball-reference.com//players/r/ricegl01.html
1995-96,Charlotte Hornets,NBA,"$3,302,000",https://www.basketball-reference.com//players/r/ricegl01.html
1996-97,Charlotte Hornets,NBA,"$4,002,000",https://www.basketball-reference.com//players/r/ricegl01.html
1997-98,Charlotte Hornets,NBA,"$4,702,000",https://www.basketball-reference.com//players/r/ricegl01.html
1998-99,Los Angeles Lakers,NBA,"$5,248,000",https://www.basketball-reference.com//players/r/ricegl01.html
1999-00,Los Angeles Lakers,NBA,"$7,000,000",https://www.basketball-reference.com//players/r/ricegl01.html
2000-01,New York Knicks,NBA,"$7,578,900",https://www.basketball-reference.com//players/r/ricegl01.html
2001-02,Houston Rockets,NBA,"$8,800,000",https://www.basketball-reference.com//players/r/ricegl01.html
2002-03,Houston Rockets,NBA,"$9,200,000",https://www.basketball-reference.com//players/r/ricegl01.html
2003-04,Utah Jazz,NBA,"$6,815,000",https://www.basketball-reference.com//players/r/ricegl01.html
2003-04,Los Angeles Clippers,NBA,"$1,070,000",https://www.basketball-reference.com//players/r/ricegl01.html
1989-90,Charlotte Hornets,NBA,"$1,200,000",https://www.basketball-reference.com//players/r/reidjr01.html
1990-91,Charlotte Hornets,NBA,"$1,250,000",https://www.basketball-reference.com//players/r/reidjr01.html
1991-92,Charlotte Hornets,NBA,"$1,250,000",https://www.basketball-reference.com//players/r/reidjr01.html
1992-93,San Antonio Spurs,NBA,"$1,250,000",https://www.basketball-reference.com//players/r/reidjr01.html
1993-94,San Antonio Spurs,NBA,"$1,818,000",https://www.basketball-reference.com//players/r/reidjr01.html
1994-95,San Antonio Spurs,NBA,"$2,215,000",https://www.basketball-reference.com//players/r/reidjr01.html
1995-96,San Antonio Spurs,NBA,"$2,658,000",https://www.basketball-reference.com//players/r/reidjr01.html
1997-98,Charlotte Hornets,NBA,"$650,000",https://www.basketball-reference.com//players/r/reidjr01.html
1998-99,Los Angeles Lakers,NBA,"$780,000",https://www.basketball-reference.com//players/r/reidjr01.html
1999-00,Milwaukee Bucks,NBA,"$2,000,000",https://www.basketball-reference.com//players/r/reidjr01.html
2000-01,Cleveland Cavaliers,NBA,"$2,200,000",https://www.basketball-reference.com//players/r/reidjr01.html
2002-03,Cleveland Cavaliers,NBA,"$800,000",https://www.basketball-reference.com//players/r/reidjr01.html
1989-90,Chicago Bulls,NBA,"$1,330,000",https://www.basketball-reference.com//players/k/kingst01.html
1990-91,Chicago Bulls,NBA,"$1,000,000",https://www.basketball-reference.com//players/k/kingst01.html
1991-92,Chicago Bulls,NBA,"$1,100,000",https://www.basketball-reference.com//players/k/kingst01.html
1992-93,Chicago Bulls,NBA,"$1,400,000",https://www.basketball-reference.com//players/k/kingst01.html
1993-94,Chicago Bulls,NBA,"$1,600,000",https://www.basketball-reference.com//players/k/kingst01.html
1994-95,Minnesota Timberwolves,NBA,"$1,900,000",https://www.basketball-reference.com//players/k/kingst01.html
1995-96,Miami Heat,NBA,"$600,000",https://www.basketball-reference.com//players/k/kingst01.html
1997-98,Sacramento Kings,NBA,"$100,000",https://www.basketball-reference.com//players/k/kingst01.html
1990-91,Indiana Pacers,NBA,"$940,000",https://www.basketball-reference.com//players/m/mccloge01.html
1991-92,Indiana Pacers,NBA,"$990,000",https://www.basketball-reference.com//players/m/mccloge01.html
1992-93,Indiana Pacers,NBA,"$1,040,000",https://www.basketball-reference.com//players/m/mccloge01.html
1995-96,Dallas Mavericks,NBA,"$950,000",https://www.basketball-reference.com//players/m/mccloge01.html
1996-97,Dallas Mavericks,NBA,"$1,100,000",https://www.basketball-reference.com//players/m/mccloge01.html
1997-98,Phoenix Suns,NBA,"$272,250",https://www.basketball-reference.com//players/m/mccloge01.html
1998-99,Phoenix Suns,NBA,"$750,000",https://www.basketball-reference.com//players/m/mccloge01.html
1999-00,Denver Nuggets,NBA,"$2,000,000",https://www.basketball-reference.com//players/m/mccloge01.html
2000-01,Denver Nuggets,NBA,"$2,200,000",https://www.basketball-reference.com//players/m/mccloge01.html
2001-02,Denver Nuggets,NBA,"$2,400,000",https://www.basketball-reference.com//players/m/mccloge01.html
2002-03,Washington Wizards,NBA,"$2,599,900",https://www.basketball-reference.com//players/m/mccloge01.html
1990-91,Dallas Mavericks,NBA,"$730,000",https://www.basketball-reference.com//players/w/whitera01.html
1991-92,Dallas Mavericks,NBA,"$855,000",https://www.basketball-reference.com//players/w/whitera01.html
1992-93,Dallas Mavericks,NBA,"$930,000",https://www.basketball-reference.com//players/w/whitera01.html
1993-94,Dallas Mavericks,NBA,"$922,000",https://www.basketball-reference.com//players/w/whitera01.html
1990-91,Washington Bullets,NBA,"$800,000",https://www.basketball-reference.com//players/h/hammoto01.html
1991-92,Washington Bullets,NBA,"$825,000",https://www.basketball-reference.com//players/h/hammoto01.html
1992-93,Charlotte Hornets,NBA,"$850,000",https://www.basketball-reference.com//players/h/hammoto01.html
1993-94,Denver Nuggets,NBA,"$800,000",https://www.basketball-reference.com//players/h/hammoto01.html
1994-95,Denver Nuggets,NBA,"$700,000",https://www.basketball-reference.com//players/h/hammoto01.html
1995-96,Denver Nuggets,NBA,"$970,000",https://www.basketball-reference.com//players/h/hammoto01.html
1996-97,Denver Nuggets,NBA,"$1,070,000",https://www.basketball-reference.com//players/h/hammoto01.html
1997-98,Denver Nuggets,NBA,"$970,000",https://www.basketball-reference.com//players/h/hammoto01.html
1999-00,Minnesota Timberwolves,NBA,"$1,800,000",https://www.basketball-reference.com//players/h/hammoto01.html
2000-01,Minnesota Timberwolves,NBA,"$1,130,000",https://www.basketball-reference.com//players/h/hammoto01.html
2001-02,Minnesota Timberwolves,NBA,"$1,800,000",https://www.basketball-reference.com//players/h/hammoto01.html
1990-91,Minnesota Timberwolves,NBA,"$615,000",https://www.basketball-reference.com//players/r/richapo01.html
1991-92,Minnesota Timberwolves,NBA,"$760,000",https://www.basketball-reference.com//players/r/richapo01.html
1992-93,Indiana Pacers,NBA,"$800,000",https://www.basketball-reference.com//players/r/richapo01.html
1993-94,Indiana Pacers,NBA,"$1,694,000",https://www.basketball-reference.com//players/r/richapo01.html
1994-95,Los Angeles Clippers,NBA,"$2,120,700",https://www.basketball-reference.com//players/r/richapo01.html
1995-96,Los Angeles Clippers,NBA,"$2,521,000",https://www.basketball-reference.com//players/r/richapo01.html
1996-97,Los Angeles Clippers,NBA,"$2,721,000",https://www.basketball-reference.com//players/r/richapo01.html
1997-98,Los Angeles Clippers,NBA,"$2,820,710",https://www.basketball-reference.com//players/r/richapo01.html
1998-99,Los Angeles Clippers,NBA,"$3,030,000",https://www.basketball-reference.com//players/r/richapo01.html
1999-00,Los Angeles Clippers,NBA,"$500,000",https://www.basketball-reference.com//players/r/richapo01.html
1999-00,Detroit Pistons,NBA,"$5,882",https://www.basketball-reference.com//players/r/richapo01.html
1990-91,Orlando Magic,NBA,"$725,000",https://www.basketball-reference.com//players/a/anderni01.html
1991-92,Orlando Magic,NBA,"$750,000",https://www.basketball-reference.com//players/a/anderni01.html
1992-93,Orlando Magic,NBA,"$800,000",https://www.basketball-reference.com//players/a/anderni01.html
1993-94,Orlando Magic,NBA,"$2,670,000",https://www.basketball-reference.com//players/a/anderni01.html
1994-95,Orlando Magic,NBA,"$3,090,000",https://www.basketball-reference.com//players/a/anderni01.html
1995-96,Orlando Magic,NBA,"$3,200,000",https://www.basketball-reference.com//players/a/anderni01.html
1996-97,Orlando Magic,NBA,"$3,790,000",https://www.basketball-reference.com//players/a/anderni01.html
1997-98,Orlando Magic,NBA,"$4,000,000",https://www.basketball-reference.com//players/a/anderni01.html
1998-99,Orlando Magic,NBA,"$3,200,000",https://www.basketball-reference.com//players/a/anderni01.html
1999-00,Sacramento Kings,NBA,"$5,051,906",https://www.basketball-reference.com//players/a/anderni01.html
2000-01,Sacramento Kings,NBA,"$3,750,000",https://www.basketball-reference.com//players/a/anderni01.html
2001-02,Memphis Grizzlies,NBA,"$5,401,906",https://www.basketball-reference.com//players/a/anderni01.html
2002-03,Cleveland Cavaliers,NBA,"$6,101,906",https://www.basketball-reference.com//players/a/anderni01.html
1990-91,New Jersey Nets,NBA,"$525,000",https://www.basketball-reference.com//players/b/blaylmo01.html
1991-92,New Jersey Nets,NBA,"$575,000",https://www.basketball-reference.com//players/b/blaylmo01.html
1992-93,Atlanta Hawks,NBA,"$660,000",https://www.basketball-reference.com//players/b/blaylmo01.html
1993-94,Atlanta Hawks,NBA,"$1,630,000",https://www.basketball-reference.com//players/b/blaylmo01.html
1994-95,Atlanta Hawks,NBA,"$2,100,000",https://www.basketball-reference.com//players/b/blaylmo01.html
1995-96,Atlanta Hawks,NBA,"$2,500,000",https://www.basketball-reference.com//players/b/blaylmo01.html
1996-97,Atlanta Hawks,NBA,"$2,800,000",https://www.basketball-reference.com//players/b/blaylmo01.html
1997-98,Atlanta Hawks,NBA,"$3,000,000",https://www.basketball-reference.com//players/b/blaylmo01.html
1998-99,Atlanta Hawks,NBA,"$3,600,000",https://www.basketball-reference.com//players/b/blaylmo01.html
1999-00,Golden State Warriors,NBA,"$4,200,000",https://www.basketball-reference.com//players/b/blaylmo01.html
2000-01,Golden State Warriors,NBA,"$4,800,000",https://www.basketball-reference.com//players/b/blaylmo01.html
2001-02,Golden State Warriors,NBA,"$5,400,000",https://www.basketball-reference.com//players/b/blaylmo01.html
1990-91,Boston Celtics,NBA,"$525,000",https://www.basketball-reference.com//players/s/smithmi01.html
1991-92,Boston Celtics,NBA,"$625,000",https://www.basketball-reference.com//players/s/smithmi01.html
1992-93,Boston Celtics,NBA,"$650,000",https://www.basketball-reference.com//players/s/smithmi01.html
1990-91,Golden State Warriors,NBA,"$500,000",https://www.basketball-reference.com//players/h/hardati01.html
1991-92,Golden State Warriors,NBA,"$640,000",https://www.basketball-reference.com//players/h/hardati01.html
1992-93,Golden State Warriors,NBA,"$690,000",https://www.basketball-reference.com//players/h/hardati01.html
1993-94,Golden State Warriors,NBA,"$3,340,000",https://www.basketball-reference.com//players/h/hardati01.html
1994-95,Golden State Warriors,NBA,"$3,703,000",https://www.basketball-reference.com//players/h/hardati01.html
1995-96,Golden State Warriors,NBA,"$3,728,000",https://www.basketball-reference.com//players/h/hardati01.html
1996-97,Miami Heat,NBA,"$2,500,000",https://www.basketball-reference.com//players/h/hardati01.html
1997-98,Miami Heat,NBA,"$4,800,000",https://www.basketball-reference.com//players/h/hardati01.html
1998-99,Miami Heat,NBA,"$5,600,000",https://www.basketball-reference.com//players/h/hardati01.html
1999-00,Miami Heat,NBA,"$4,800,000",https://www.basketball-reference.com//players/h/hardati01.html
2000-01,Miami Heat,NBA,"$12,000,000",https://www.basketball-reference.com//players/h/hardati01.html
2001-02,Dallas Mavericks,NBA,"$3,360,390",https://www.basketball-reference.com//players/h/hardati01.html
2002-03,Denver Nuggets,NBA,"$1,000,000",https://www.basketball-reference.com//players/h/hardati01.html
1990-91,Denver Nuggets,NBA,"$565,000",https://www.basketball-reference.com//players/l/lichtto01.html
1991-92,Denver Nuggets,NBA,"$565,000",https://www.basketball-reference.com//players/l/lichtto01.html
1992-93,Denver Nuggets,NBA,"$565,180",https://www.basketball-reference.com//players/l/lichtto01.html
1993-94,Orlando Magic,NBA,"$565,000",https://www.basketball-reference.com//players/l/lichtto01.html
1994-95,Orlando Magic,NBA,"$200,000",https://www.basketball-reference.com//players/l/lichtto01.html
1990-91,Seattle SuperSonics,NBA,"$500,000",https://www.basketball-reference.com//players/b/barroda01.html
1991-92,Seattle SuperSonics,NBA,"$500,000",https://www.basketball-reference.com//players/b/barroda01.html
1992-93,Seattle SuperSonics,NBA,"$500,000",https://www.basketball-reference.com//players/b/barroda01.html
1993-94,Philadelphia 76ers,NBA,"$750,000",https://www.basketball-reference.com//players/b/barroda01.html
1994-95,Philadelphia 76ers,NBA,"$937,500",https://www.basketball-reference.com//players/b/barroda01.html
1995-96,Boston Celtics,NBA,"$3,300,000",https://www.basketball-reference.com//players/b/barroda01.html
1996-97,Boston Celtics,NBA,"$3,400,000",https://www.basketball-reference.com//players/b/barroda01.html
1997-98,Boston Celtics,NBA,"$3,400,000",https://www.basketball-reference.com//players/b/barroda01.html
1998-99,Boston Celtics,NBA,"$3,500,000",https://www.basketball-reference.com//players/b/barroda01.html
1999-00,Boston Celtics,NBA,"$3,500,000",https://www.basketball-reference.com//players/b/barroda01.html
2000-01,Detroit Pistons,NBA,"$3,700,000",https://www.basketball-reference.com//players/b/barroda01.html
2001-02,Detroit Pistons,NBA,"$1,600,000",https://www.basketball-reference.com//players/b/barroda01.html
1990-91,Seattle SuperSonics,NBA,"$350,000",https://www.basketball-reference.com//players/k/kempsh01.html
1991-92,Seattle SuperSonics,NBA,"$430,000",https://www.basketball-reference.com//players/k/kempsh01.html
1992-93,Seattle SuperSonics,NBA,"$650,000",https://www.basketball-reference.com//players/k/kempsh01.html
1993-94,Seattle SuperSonics,NBA,"$750,000",https://www.basketball-reference.com//players/k/kempsh01.html
1994-95,Seattle SuperSonics,NBA,"$1,000,000",https://www.basketball-reference.com//players/k/kempsh01.html
1995-96,Seattle SuperSonics,NBA,"$3,000,000",https://www.basketball-reference.com//players/k/kempsh01.html
1996-97,Seattle SuperSonics,NBA,"$3,300,000",https://www.basketball-reference.com//players/k/kempsh01.html
1997-98,Cleveland Cavaliers,NBA,"$8,600,000",https://www.basketball-reference.com//players/k/kempsh01.html
1998-99,Cleveland Cavaliers,NBA,"$9,740,000",https://www.basketball-reference.com//players/k/kempsh01.html
1999-00,Cleveland Cavaliers,NBA,"$10,780,000",https://www.basketball-reference.com//players/k/kempsh01.html
2000-01,Portland Trail Blazers,NBA,"$11,720,000",https://www.basketball-reference.com//players/k/kempsh01.html
2001-02,Portland Trail Blazers,NBA,"$12,660,000",https://www.basketball-reference.com//players/k/kempsh01.html
2002-03,Portland Trail Blazers,NBA,"$12,621,028",https://www.basketball-reference.com//players/k/kempsh01.html
2002-03,Orlando Magic,NBA,"$1,030,000",https://www.basketball-reference.com//players/k/kempsh01.html
2003-04,Portland Trail Blazers,NBA,"$14,941,935",https://www.basketball-reference.com//players/k/kempsh01.html
1990-91,Chicago Bulls,NBA,"$425,000",https://www.basketball-reference.com//players/a/armstbj01.html
1991-92,Chicago Bulls,NBA,"$435,000",https://www.basketball-reference.com//players/a/armstbj01.html
1992-93,Chicago Bulls,NBA,"$540,000",https://www.basketball-reference.com//players/a/armstbj01.html
1993-94,Chicago Bulls,NBA,"$620,000",https://www.basketball-reference.com//players/a/armstbj01.html
1994-95,Chicago Bulls,NBA,"$2,800,000",https://www.basketball-reference.com//players/a/armstbj01.html
1995-96,Golden State Warriors,NBA,"$2,400,000",https://www.basketball-reference.com//players/a/armstbj01.html
1996-97,Golden State Warriors,NBA,"$2,400,000",https://www.basketball-reference.com//players/a/armstbj01.html
1997-98,Golden State Warriors,NBA,"$2,600,000",https://www.basketball-reference.com//players/a/armstbj01.html
1998-99,Los Angeles Lakers,NBA,"$2,800,000",https://www.basketball-reference.com//players/a/armstbj01.html
1998-99,Orlando Magic,NBA,"$850,000",https://www.basketball-reference.com//players/a/armstbj01.html
1999-00,Chicago Bulls,NBA,"$510,000",https://www.basketball-reference.com//players/a/armstbj01.html
1990-91,Philadelphia 76ers,NBA,"$400,000",https://www.basketball-reference.com//players/p/payneke01.html
1991-92,Philadelphia 76ers,NBA,"$410,000",https://www.basketball-reference.com//players/p/payneke01.html
1992-93,Philadelphia 76ers,NBA,"$500,000",https://www.basketball-reference.com//players/p/payneke01.html
1991-92,Miami Heat,NBA,"$385,000",https://www.basketball-reference.com//players/s/sandeje01.html
1992-93,Atlanta Hawks,NBA,"$250,000",https://www.basketball-reference.com//players/s/sandeje01.html
1998-99,Chicago Bulls,NBA,"$475,000",https://www.basketball-reference.com//players/s/sandeje01.html
1990-91,Utah Jazz,NBA,"$360,000",https://www.basketball-reference.com//players/e/edwarbl01.html
1991-92,Utah Jazz,NBA,"$390,000",https://www.basketball-reference.com//players/e/edwarbl01.html
1992-93,Milwaukee Bucks,NBA,"$475,000",https://www.basketball-reference.com//players/e/edwarbl01.html
1993-94,Milwaukee Bucks,NBA,"$1,500,000",https://www.basketball-reference.com//players/e/edwarbl01.html
1994-95,Boston Celtics,NBA,"$1,700,000",https://www.basketball-reference.com//players/e/edwarbl01.html
1995-96,Vancouver Grizzlies,NBA,"$1,900,000",https://www.basketball-reference.com//players/e/edwarbl01.html
1996-97,Vancouver Grizzlies,NBA,"$2,100,000",https://www.basketball-reference.com//players/e/edwarbl01.html
1997-98,Vancouver Grizzlies,NBA,"$2,300,000",https://www.basketball-reference.com//players/e/edwarbl01.html
1998-99,Miami Heat,NBA,"$850,000",https://www.basketball-reference.com//players/e/edwarbl01.html
1999-00,Miami Heat,NBA,"$510,000",https://www.basketball-reference.com//players/e/edwarbl01.html
1990-91,Washington Bullets,NBA,"$375,000",https://www.basketball-reference.com//players/i/irvinby01.html
1990-91,Denver Nuggets,NBA,"$370,000",https://www.basketball-reference.com//players/c/cookan01.html
1991-92,Denver Nuggets,NBA,"$480,000",https://www.basketball-reference.com//players/c/cookan01.html
1992-93,Denver Nuggets,NBA,"$570,000",https://www.basketball-reference.com//players/c/cookan01.html
1993-94,Milwaukee Bucks,NBA,"$650,000",https://www.basketball-reference.com//players/c/cookan01.html
1995-96,Portland Trail Blazers,NBA,"$225,000",https://www.basketball-reference.com//players/c/cookan01.html
1990-91,Cleveland Cavaliers,NBA,"$350,000",https://www.basketball-reference.com//players/m/mortojo01.html
1991-92,Cleveland Cavaliers,NBA,"$450,000",https://www.basketball-reference.com//players/m/mortojo01.html
1999-00,Golden State Warriors,NBA,"$6,735",https://www.basketball-reference.com//players/m/mortojo01.html
1990-91,Los Angeles Lakers,NBA,"$770,000",https://www.basketball-reference.com//players/d/divacvl01.html
1991-92,Los Angeles Lakers,NBA,"$942,000",https://www.basketball-reference.com//players/d/divacvl01.html
1992-93,Los Angeles Lakers,NBA,"$3,633,000",https://www.basketball-reference.com//players/d/divacvl01.html
1993-94,Los Angeles Lakers,NBA,"$4,133,000",https://www.basketball-reference.com//players/d/divacvl01.html
1994-95,Los Angeles Lakers,NBA,"$3,333,300",https://www.basketball-reference.com//players/d/divacvl01.html
1995-96,Los Angeles Lakers,NBA,"$3,333,000",https://www.basketball-reference.com//players/d/divacvl01.html
1996-97,Charlotte Hornets,NBA,"$4,718,000",https://www.basketball-reference.com//players/d/divacvl01.html
1997-98,Charlotte Hornets,NBA,"$4,833,333",https://www.basketball-reference.com//players/d/divacvl01.html
1998-99,Sacramento Kings,NBA,"$8,300,000",https://www.basketball-reference.com//players/d/divacvl01.html
1999-00,Sacramento Kings,NBA,"$8,837,774",https://www.basketball-reference.com//players/d/divacvl01.html
2000-01,Sacramento Kings,NBA,"$9,640,000",https://www.basketball-reference.com//players/d/divacvl01.html
2001-02,Sacramento Kings,NBA,"$10,444,642",https://www.basketball-reference.com//players/d/divacvl01.html
2002-03,Sacramento Kings,NBA,"$11,248,076",https://www.basketball-reference.com//players/d/divacvl01.html
2003-04,Sacramento Kings,NBA,"$12,051,510",https://www.basketball-reference.com//players/d/divacvl01.html
2004-05,Los Angeles Lakers,NBA,"$4,903,000",https://www.basketball-reference.com//players/d/divacvl01.html
2005-06,Los Angeles Lakers,NBA,"$2,000,000",https://www.basketball-reference.com//players/d/divacvl01.html
1990-91,Denver Nuggets,NBA,"$350,000",https://www.basketball-reference.com//players/b/battlke01.html
1992-93,Boston Celtics,NBA,"$140,000",https://www.basketball-reference.com//players/b/battlke01.html
1990-91,Miami Heat,NBA,"$325,000",https://www.basketball-reference.com//players/d/douglsh01.html
1991-92,Miami Heat,NBA,"$1,250,000",https://www.basketball-reference.com//players/d/douglsh01.html
1992-93,Boston Celtics,NBA,"$1,869,000",https://www.basketball-reference.com//players/d/douglsh01.html
1993-94,Boston Celtics,NBA,"$2,300,000",https://www.basketball-reference.com//players/d/douglsh01.html
1994-95,Boston Celtics,NBA,"$2,731,000",https://www.basketball-reference.com//players/d/douglsh01.html
1995-96,Milwaukee Bucks,NBA,"$3,163,000",https://www.basketball-reference.com//players/d/douglsh01.html
1996-97,Milwaukee Bucks,NBA,"$3,594,000",https://www.basketball-reference.com//players/d/douglsh01.html
1997-98,Denver Nuggets,NBA,"$4,025,000",https://www.basketball-reference.com//players/d/douglsh01.html
1997-98,New Jersey Nets,NBA,"$272,250",https://www.basketball-reference.com//players/d/douglsh01.html
1998-99,Los Angeles Clippers,NBA,"$2,200,000",https://www.basketball-reference.com//players/d/douglsh01.html
1999-00,New Jersey Nets,NBA,"$1,000,000",https://www.basketball-reference.com//players/d/douglsh01.html
2000-01,New Jersey Nets,NBA,"$1,100,000",https://www.basketball-reference.com//players/d/douglsh01.html
1990-91,Milwaukee Bucks,NBA,"$225,000",https://www.basketball-reference.com//players/k/kornefr01.html
1990-91,Los Angeles Clippers,NBA,"$210,000",https://www.basketball-reference.com//players/m/martije01.html
1990-91,Atlanta Hawks,NBA,"$200,000",https://www.basketball-reference.com//players/l/leonaga01.html
1991-92,Atlanta Hawks,NBA,"$130,000",https://www.basketball-reference.com//players/l/leonaga01.html
1994-95,Minnesota Timberwolves,NBA,"$126,000",https://www.basketball-reference.com//players/d/durhapa01.html
1990-91,Portland Trail Blazers,NBA,"$250,000",https://www.basketball-reference.com//players/r/robincl02.html
1991-92,Portland Trail Blazers,NBA,"$474,000",https://www.basketball-reference.com//players/r/robincl02.html
1992-93,Portland Trail Blazers,NBA,"$1,665,000",https://www.basketball-reference.com//players/r/robincl02.html
1993-94,Portland Trail Blazers,NBA,"$2,336,000",https://www.basketball-reference.com//players/r/robincl02.html
1994-95,Portland Trail Blazers,NBA,"$2,732,000",https://www.basketball-reference.com//players/r/robincl02.html
1995-96,Portland Trail Blazers,NBA,"$3,018,000",https://www.basketball-reference.com//players/r/robincl02.html
1996-97,Portland Trail Blazers,NBA,"$2,924,000",https://www.basketball-reference.com//players/r/robincl02.html
1997-98,Phoenix Suns,NBA,"$1,000,000",https://www.basketball-reference.com//players/r/robincl02.html
1998-99,Phoenix Suns,NBA,"$3,500,000",https://www.basketball-reference.com//players/r/robincl02.html
1999-00,Phoenix Suns,NBA,"$6,125,000",https://www.basketball-reference.com//players/r/robincl02.html
2000-01,Phoenix Suns,NBA,"$6,890,000",https://www.basketball-reference.com//players/r/robincl02.html
2001-02,Detroit Pistons,NBA,"$7,656,250",https://www.basketball-reference.com//players/r/robincl02.html
2002-03,Detroit Pistons,NBA,"$8,421,875",https://www.basketball-reference.com//players/r/robincl02.html
2003-04,Golden State Warriors,NBA,"$4,700,000",https://www.basketball-reference.com//players/r/robincl02.html
2004-05,Golden State Warriors,NBA,"$5,287,500",https://www.basketball-reference.com//players/r/robincl02.html
2005-06,New Jersey Nets,NBA,"$2,500,000",https://www.basketball-reference.com//players/r/robincl02.html
2006-07,New Jersey Nets,NBA,"$1,600,000",https://www.basketball-reference.com//players/r/robincl02.html
2007-08,New Jersey Nets,NBA,"$500,000",https://www.basketball-reference.com//players/r/robincl02.html
1990-91,Orlando Magic,NBA,"$200,000",https://www.basketball-reference.com//players/a/anslemi01.html
1990-91,Minnesota Timberwolves,NBA,"$230,000",https://www.basketball-reference.com//players/w/westdo01.html
1991-92,Minnesota Timberwolves,NBA,"$310,000",https://www.basketball-reference.com//players/w/westdo01.html
1992-93,Minnesota Timberwolves,NBA,"$1,275,000",https://www.basketball-reference.com//players/w/westdo01.html
