season,age,team_id,lg_id,pos,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,link,all_star
1989,22.0,SAC,NBA,C,34.0,22.0,25.5,3.3,7.4,0.442,0.0,0.1,0.0,3.3,7.3,0.446,0.442,1.4,2.3,0.628,1.9,3.9,5.8,1.9,0.5,1.7,1.8,3.9,8.0,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1990,23.0,WSB,NBA,C,76.0,30.0,25.6,4.3,8.4,0.513,0.0,0.1,0.0,4.3,8.3,0.517,0.513,1.8,2.8,0.65,2.9,4.8,7.7,1.3,0.6,2.1,1.9,3.5,10.4,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1991,24.0,WSB,NBA,C,66.0,64.0,38.0,8.3,15.4,0.539,0.0,0.0,0.33299999999999996,8.3,15.3,0.54,0.54,3.4,4.7,0.728,3.3,7.9,11.2,2.9,0.9,2.7,3.0,3.4,20.0,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1992,25.0,WSB,NBA,C,49.0,48.0,34.7,7.0,13.4,0.521,0.0,0.1,0.0,7.0,13.3,0.524,0.521,3.5,4.9,0.7020000000000001,2.8,6.0,8.8,2.4,0.9,2.2,2.2,3.1,17.4,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1993,26.0,WSB,NBA,C,47.0,24.0,25.1,2.9,6.2,0.469,0.0,0.1,0.0,2.9,6.1,0.474,0.469,1.5,2.1,0.722,1.6,3.5,5.1,1.5,0.5,1.1,1.6,3.0,7.3,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1994,27.0,BOS,NBA,C,55.0,11.0,19.7,2.8,5.5,0.507,0.0,0.0,0.0,2.8,5.4,0.51,0.507,1.3,1.8,0.7170000000000001,2.3,3.4,5.6,0.6,0.4,1.0,1.4,3.3,6.8,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1995,28.0,BOS,NBA,C,69.0,29.0,20.7,2.1,4.3,0.49200000000000005,0.0,0.0,,2.1,4.3,0.49200000000000005,0.49200000000000005,1.1,1.7,0.6409999999999999,2.2,4.3,6.5,0.9,0.6,1.4,1.2,3.0,5.3,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1996,29.0,BOS,NBA,PF,6.0,4.0,20.8,1.0,2.7,0.375,0.0,0.0,,1.0,2.7,0.375,0.375,0.5,0.8,0.6,1.5,2.8,4.3,0.7,0.8,1.5,1.2,3.5,2.5,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1997,30.0,BOS,NBA,PF,33.0,8.0,13.5,1.2,2.1,0.5710000000000001,0.0,0.0,,1.2,2.1,0.5710000000000001,0.5710000000000001,0.6,1.0,0.588,1.6,1.7,3.3,0.9,0.6,0.9,0.8,2.7,3.0,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1999,32.0,BOS,NBA,C,30.0,5.0,9.0,0.6,1.4,0.442,0.0,0.0,,0.6,1.4,0.442,0.442,0.5,0.7,0.7140000000000001,1.0,1.3,2.2,0.4,0.3,0.3,0.4,2.2,1.8,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
2000,33.0,SEA,NBA,C,9.0,0.0,4.4,0.2,0.8,0.28600000000000003,0.0,0.0,,0.2,0.8,0.28600000000000003,0.28600000000000003,0.2,0.2,1.0,0.2,1.1,1.3,0.3,0.0,0.2,0.3,1.4,0.7,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1990,24.0,CLE,NBA,PF,81.0,2.0,20.5,3.4,7.9,0.428,0.3,1.0,0.299,3.1,7.0,0.445,0.446,1.5,1.9,0.816,1.2,2.3,3.5,1.8,0.5,0.3,1.5,2.8,8.6,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
1991,25.0,CLE,NBA,PF,68.0,1.0,13.8,2.0,4.8,0.409,0.3,0.7,0.354,1.7,4.1,0.418,0.434,0.9,1.1,0.836,0.8,2.4,3.1,1.1,0.3,0.2,0.7,2.0,5.1,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
1992,26.0,CLE,NBA,PF,76.0,1.0,19.2,2.9,6.0,0.479,0.4,1.1,0.415,2.4,5.0,0.493,0.516,1.3,1.5,0.8759999999999999,1.1,2.6,3.7,1.8,0.4,0.6,1.1,2.3,7.5,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
1993,27.0,CLE,NBA,PF,70.0,1.0,13.8,2.1,4.8,0.446,0.2,0.7,0.275,1.9,4.0,0.47700000000000004,0.467,0.5,0.6,0.884,0.7,1.3,2.0,1.1,0.4,0.3,0.6,1.6,5.0,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
1994,28.0,CLE,NBA,PF,82.0,6.0,15.7,2.7,6.1,0.446,1.1,2.8,0.40299999999999997,1.6,3.3,0.483,0.54,0.9,1.0,0.8809999999999999,0.4,1.4,1.7,1.2,0.3,0.3,0.7,1.6,7.5,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
1995,29.0,CLE,NBA,PF,82.0,79.0,32.7,5.1,11.2,0.45899999999999996,1.7,4.4,0.39399999999999996,3.4,6.8,0.502,0.537,1.3,1.6,0.769,0.9,2.9,3.8,2.3,0.7,0.5,1.5,2.8,13.3,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
1996,30.0,CLE,NBA,PF,82.0,48.0,32.1,4.2,9.7,0.429,1.4,3.5,0.401,2.8,6.2,0.445,0.501,0.9,1.1,0.851,1.0,3.1,4.1,1.8,0.7,0.4,1.1,3.0,10.6,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
1997,31.0,CLE,NBA,PF,69.0,3.0,15.0,1.6,4.1,0.395,0.5,1.4,0.33299999999999996,1.2,2.7,0.428,0.45299999999999996,0.5,0.6,0.8,0.3,1.3,1.7,0.9,0.4,0.2,0.8,1.7,4.2,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
1998,32.0,CLE,NBA,PF,50.0,10.0,21.2,2.8,5.9,0.47600000000000003,0.8,1.9,0.392,2.1,4.0,0.518,0.541,0.6,0.7,0.879,0.3,1.7,2.0,1.1,0.5,0.2,0.8,2.3,7.0,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
1999,33.0,CLE,NBA,PF,63.0,3.0,21.0,3.0,6.0,0.49700000000000005,0.5,1.2,0.44,2.5,4.8,0.511,0.541,0.8,0.9,0.912,0.9,2.9,3.8,1.1,0.3,0.4,0.9,2.9,7.3,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
2000,34.0,SAS,NBA,SF,80.0,29.0,21.1,2.2,4.7,0.475,0.9,2.0,0.449,1.4,2.7,0.493,0.568,0.3,0.4,0.733,0.7,2.1,2.8,0.9,0.4,0.3,0.6,2.1,5.6,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
2001,35.0,SAS,NBA,SF,50.0,2.0,16.0,1.5,3.5,0.429,0.9,2.0,0.434,0.7,1.6,0.423,0.551,0.7,0.7,0.9440000000000001,0.3,1.5,1.8,1.0,0.3,0.2,0.4,1.4,4.6,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
2002,36.0,SAS,NBA,SF,64.0,1.0,9.4,0.7,1.9,0.355,0.3,0.9,0.35,0.4,1.0,0.359,0.44,0.2,0.2,0.769,0.3,0.9,1.2,0.3,0.1,0.1,0.4,0.9,1.9,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
1989,21.0,SAS,NBA,SF,81.0,69.0,25.1,3.8,8.0,0.48100000000000004,0.0,0.1,0.111,3.8,7.9,0.486,0.48100000000000004,2.3,2.7,0.866,1.6,2.1,3.7,1.9,0.6,0.2,1.4,2.1,10.0,https://www.basketball-reference.com//players/e/elliose01.html,0.0
1990,22.0,SAS,NBA,SF,82.0,82.0,37.1,5.8,11.9,0.49,0.2,0.8,0.313,5.6,11.1,0.502,0.5,4.0,4.9,0.8079999999999999,1.7,3.8,5.6,2.9,0.8,0.4,1.8,2.3,15.9,https://www.basketball-reference.com//players/e/elliose01.html,0.0
1991,23.0,SAS,NBA,SF,82.0,82.0,38.0,6.3,12.7,0.494,0.3,1.0,0.305,6.0,11.7,0.51,0.506,3.5,4.0,0.861,1.7,3.6,5.4,2.6,1.0,0.4,1.9,1.8,16.3,https://www.basketball-reference.com//players/e/elliose01.html,0.0
1992,24.0,SAS,NBA,SF,70.0,70.0,37.2,6.4,13.1,0.491,0.5,1.5,0.35600000000000004,5.9,11.6,0.509,0.511,3.8,4.8,0.795,1.2,3.4,4.6,3.8,1.0,0.4,2.2,1.9,17.2,https://www.basketball-reference.com//players/e/elliose01.html,1.0
1993,25.0,DET,NBA,SF,73.0,73.0,33.0,4.9,10.8,0.455,0.4,1.2,0.299,4.6,9.6,0.474,0.47200000000000003,1.9,2.4,0.8029999999999999,0.9,2.7,3.6,2.7,0.7,0.4,1.8,2.4,12.1,https://www.basketball-reference.com//players/e/elliose01.html,0.0
1994,26.0,SAS,NBA,SF,81.0,81.0,35.3,6.2,13.2,0.46799999999999997,1.7,4.1,0.408,4.5,9.1,0.495,0.532,4.0,5.0,0.807,0.8,2.8,3.5,2.5,1.0,0.5,1.9,2.7,18.1,https://www.basketball-reference.com//players/e/elliose01.html,0.0
1995,27.0,SAS,NBA,SF,77.0,77.0,37.7,6.8,14.6,0.466,2.1,5.1,0.41100000000000003,4.7,9.5,0.495,0.537,4.2,5.5,0.7709999999999999,0.9,4.2,5.1,2.7,0.9,0.4,2.6,2.3,20.0,https://www.basketball-reference.com//players/e/elliose01.html,1.0
1996,28.0,SAS,NBA,SF,39.0,39.0,35.7,5.0,11.9,0.42200000000000004,1.1,3.2,0.33299999999999996,3.9,8.7,0.456,0.46799999999999997,3.8,5.0,0.755,1.2,3.6,4.9,3.2,0.6,0.6,2.3,2.7,14.9,https://www.basketball-reference.com//players/e/elliose01.html,0.0
1997,29.0,SAS,NBA,SF,36.0,36.0,28.1,3.4,8.4,0.40299999999999997,0.9,2.5,0.37799999999999995,2.4,5.9,0.413,0.45899999999999996,1.6,2.2,0.718,0.4,3.0,3.4,1.7,0.7,0.4,1.6,2.6,9.3,https://www.basketball-reference.com//players/e/elliose01.html,0.0
1998,30.0,SAS,NBA,SF,50.0,50.0,30.2,4.2,10.1,0.41,0.8,2.4,0.32799999999999996,3.4,7.8,0.436,0.449,2.1,2.8,0.757,0.7,3.6,4.3,2.3,0.5,0.3,1.4,2.1,11.2,https://www.basketball-reference.com//players/e/elliose01.html,0.0
1999,31.0,SAS,NBA,SF,19.0,19.0,20.6,2.0,5.6,0.358,0.7,1.9,0.35100000000000003,1.3,3.6,0.36200000000000004,0.42,1.3,1.7,0.7809999999999999,0.3,2.2,2.5,1.5,0.6,0.1,1.0,1.8,6.0,https://www.basketball-reference.com//players/e/elliose01.html,0.0
2000,32.0,SAS,NBA,SF,52.0,34.0,23.6,2.8,6.5,0.434,1.1,2.5,0.426,1.8,4.0,0.43799999999999994,0.515,1.2,1.6,0.7140000000000001,0.3,2.9,3.3,1.6,0.4,0.5,1.0,1.5,7.9,https://www.basketball-reference.com//players/e/elliose01.html,0.0
1989,22.0,MIA,NBA,SF,77.0,60.0,30.0,6.1,13.9,0.439,0.2,0.9,0.24600000000000002,5.9,13.0,0.452,0.447,1.2,1.6,0.7340000000000001,1.3,3.3,4.6,1.8,0.9,0.4,1.5,2.6,13.6,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
1990,23.0,MIA,NBA,SF,77.0,77.0,34.4,7.1,15.5,0.461,0.9,2.4,0.386,6.2,13.1,0.475,0.491,2.2,2.7,0.818,1.1,3.8,4.9,2.5,1.3,0.3,2.2,2.8,17.4,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
1991,24.0,MIA,NBA,SF,79.0,79.0,38.1,8.5,18.1,0.469,2.0,5.0,0.391,6.5,13.1,0.499,0.523,3.4,4.0,0.836,1.1,3.9,5.0,2.3,1.1,0.4,1.8,2.2,22.3,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
1992,25.0,MIA,NBA,SF,82.0,82.0,37.6,7.1,16.1,0.44,1.8,4.7,0.38299999999999995,5.3,11.4,0.46299999999999997,0.495,3.0,3.6,0.82,1.1,4.0,5.2,2.2,1.1,0.3,1.9,2.5,19.0,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
1993,26.0,MIA,NBA,SF,81.0,81.0,37.0,8.2,17.5,0.467,1.6,4.3,0.382,6.6,13.3,0.494,0.513,3.1,3.5,0.88,0.9,4.4,5.4,2.3,1.4,0.4,1.6,2.3,21.1,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
1994,27.0,MIA,NBA,SF,82.0,82.0,36.8,8.1,17.1,0.475,2.3,5.5,0.41,5.9,11.6,0.506,0.541,3.8,4.5,0.855,1.2,3.4,4.6,2.3,1.4,0.2,1.9,2.5,22.3,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
1995,28.0,CHH,NBA,SF,79.0,79.0,39.8,7.7,16.4,0.47100000000000003,2.2,5.1,0.424,5.6,11.3,0.49200000000000005,0.537,4.0,4.8,0.8370000000000001,1.1,3.7,4.8,2.9,1.2,0.2,2.1,2.7,21.6,https://www.basketball-reference.com//players/r/ricegl01.html,1.0
1996,29.0,CHH,NBA,SF,79.0,78.0,42.6,9.1,19.2,0.47700000000000004,2.6,5.6,0.47,6.5,13.6,0.48,0.546,5.9,6.8,0.867,0.8,3.2,4.0,2.0,0.9,0.3,2.2,2.4,26.8,https://www.basketball-reference.com//players/r/ricegl01.html,1.0
1997,30.0,CHH,NBA,SF,82.0,82.0,40.2,7.7,16.9,0.457,1.6,3.7,0.433,6.1,13.2,0.46399999999999997,0.504,5.2,6.1,0.8490000000000001,1.1,3.2,4.3,2.2,0.9,0.3,2.2,2.4,22.3,https://www.basketball-reference.com//players/r/ricegl01.html,1.0
1998,31.0,LAL,NBA,SF,27.0,25.0,36.5,6.3,14.7,0.43200000000000005,2.0,5.0,0.39299999999999996,4.4,9.7,0.452,0.499,2.9,3.3,0.856,0.3,3.3,3.7,2.6,0.6,0.2,1.7,2.5,17.5,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
1999,32.0,LAL,NBA,SF,80.0,80.0,31.6,5.3,12.3,0.43,1.1,2.9,0.36700000000000005,4.2,9.4,0.449,0.47200000000000003,4.3,5.0,0.8740000000000001,0.7,3.4,4.1,2.2,0.6,0.2,1.4,2.2,15.9,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
2000,33.0,NYK,NBA,SF,75.0,25.0,29.5,4.4,10.0,0.44,1.1,2.8,0.389,3.3,7.2,0.46,0.495,2.1,2.4,0.852,0.8,3.3,4.1,1.2,0.5,0.2,1.3,2.4,12.0,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
2001,34.0,HOU,NBA,SF,20.0,20.0,30.3,3.3,8.4,0.389,0.9,3.2,0.281,2.4,5.2,0.456,0.44299999999999995,1.2,1.5,0.8,0.3,2.1,2.4,1.6,0.6,0.2,1.2,1.7,8.6,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
2002,35.0,HOU,NBA,SF,62.0,26.0,24.7,3.2,7.4,0.429,1.6,4.1,0.39799999999999996,1.5,3.3,0.46799999999999997,0.539,1.0,1.3,0.759,0.5,2.0,2.5,1.0,0.4,0.1,0.9,1.6,9.0,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
2003,36.0,LAC,NBA,SF,18.0,0.0,14.6,1.2,4.2,0.289,0.3,1.6,0.179,0.9,2.7,0.354,0.322,0.9,0.9,1.0,0.5,1.8,2.3,1.3,0.3,0.0,0.7,1.2,3.7,https://www.basketball-reference.com//players/r/ricegl01.html,0.0
1989,21.0,CHH,NBA,C,82.0,82.0,33.6,4.4,9.9,0.44,0.0,0.1,0.0,4.4,9.9,0.44299999999999995,0.44,2.3,3.5,0.664,2.4,6.0,8.4,1.2,1.1,0.7,2.1,3.6,11.1,https://www.basketball-reference.com//players/r/reidjr01.html,0.0
1990,22.0,CHH,NBA,C,80.0,80.0,30.8,4.5,9.7,0.466,0.0,0.0,0.0,4.5,9.6,0.467,0.466,2.3,3.2,0.703,1.9,4.4,6.3,1.1,1.1,0.6,1.9,3.6,11.3,https://www.basketball-reference.com//players/r/reidjr01.html,0.0
1991,23.0,CHH,NBA,C,51.0,7.0,24.6,4.2,8.5,0.49,0.0,0.1,0.0,4.2,8.5,0.493,0.49,2.6,3.7,0.705,1.9,4.3,6.2,1.6,1.0,0.5,1.6,3.1,11.0,https://www.basketball-reference.com//players/r/reidjr01.html,0.0
1992,24.0,TOT,NBA,PF,83.0,25.0,22.7,3.4,7.2,0.47600000000000003,0.0,0.1,0.0,3.4,7.1,0.48,0.47600000000000003,2.6,3.4,0.764,1.4,4.0,5.5,1.0,0.6,0.4,1.5,3.2,9.4,https://www.basketball-reference.com//players/r/reidjr01.html,0.0
1993,25.0,SAS,NBA,PF,70.0,11.0,19.2,3.7,7.6,0.491,0.0,0.0,0.0,3.7,7.5,0.493,0.491,1.5,2.2,0.6990000000000001,1.3,1.8,3.1,1.0,0.6,0.4,1.2,2.4,9.0,https://www.basketball-reference.com//players/r/reidjr01.html,0.0
1994,26.0,SAS,NBA,PF,81.0,37.0,19.3,2.5,4.9,0.508,0.0,0.0,0.5,2.5,4.9,0.508,0.509,2.0,2.9,0.687,1.5,3.4,4.9,0.7,0.7,0.4,1.4,2.8,7.0,https://www.basketball-reference.com//players/r/reidjr01.html,0.0
1995,27.0,TOT,NBA,PF,65.0,21.0,20.2,2.5,5.0,0.494,0.0,0.0,0.0,2.5,5.0,0.495,0.494,1.6,2.2,0.754,1.1,2.8,3.9,0.6,0.7,0.3,1.2,2.9,6.6,https://www.basketball-reference.com//players/r/reidjr01.html,0.0
1997,29.0,CHH,NBA,PF,79.0,1.0,14.0,1.8,4.0,0.45899999999999996,0.0,0.1,0.375,1.8,3.9,0.461,0.46399999999999997,1.1,1.5,0.73,0.9,1.7,2.7,0.6,0.4,0.2,0.8,2.2,4.9,https://www.basketball-reference.com//players/r/reidjr01.html,0.0
1998,30.0,TOT,NBA,PF,41.0,26.0,25.1,3.2,6.8,0.47700000000000004,0.0,0.0,0.0,3.2,6.7,0.478,0.47700000000000004,2.6,3.3,0.7659999999999999,1.1,4.1,5.2,1.2,0.9,0.2,1.2,3.3,9.0,https://www.basketball-reference.com//players/r/reidjr01.html,0.0
1999,31.0,MIL,NBA,PF,34.0,7.0,17.7,1.6,3.7,0.41700000000000004,0.0,0.2,0.14300000000000002,1.5,3.5,0.433,0.42100000000000004,1.3,1.6,0.768,0.9,2.6,3.4,0.5,0.6,0.1,0.6,2.4,4.4,https://www.basketball-reference.com//players/r/reidjr01.html,0.0
2000,32.0,CLE,NBA,PF,6.0,0.0,6.5,0.3,0.8,0.4,0.0,0.0,,0.3,0.8,0.4,0.4,1.0,1.3,0.75,0.8,0.5,1.3,0.2,0.3,0.2,0.2,0.7,1.7,https://www.basketball-reference.com//players/r/reidjr01.html,0.0
1989,23.0,CHI,NBA,PF,82.0,2.0,21.7,3.3,6.5,0.504,0.0,0.0,0.0,3.3,6.5,0.505,0.504,2.4,3.3,0.727,2.1,2.6,4.7,1.1,0.5,0.7,1.5,2.6,8.9,https://www.basketball-reference.com//players/k/kingst01.html,0.0
1990,24.0,CHI,NBA,PF,76.0,6.0,15.8,2.1,4.4,0.467,0.0,0.0,0.0,2.1,4.4,0.47,0.467,1.4,2.0,0.7040000000000001,0.9,1.8,2.7,0.9,0.3,0.6,1.2,1.8,5.5,https://www.basketball-reference.com//players/k/kingst01.html,0.0
1991,25.0,CHI,NBA,PF,79.0,12.0,16.1,2.7,5.4,0.506,0.0,0.1,0.4,2.7,5.3,0.507,0.508,1.5,2.0,0.753,1.1,1.5,2.6,1.0,0.3,0.3,1.0,1.6,7.0,https://www.basketball-reference.com//players/k/kingst01.html,0.0
1992,26.0,CHI,NBA,C,76.0,3.0,13.9,2.1,4.5,0.47100000000000003,0.0,0.1,0.33299999999999996,2.1,4.4,0.473,0.474,1.1,1.6,0.705,1.4,1.3,2.7,0.9,0.3,0.3,0.9,1.7,5.4,https://www.basketball-reference.com//players/k/kingst01.html,0.0
1993,27.0,TOT,NBA,C,49.0,30.0,21.5,3.0,7.0,0.428,0.0,0.0,0.0,3.0,6.9,0.431,0.428,1.9,2.8,0.684,1.8,3.1,4.9,1.2,0.6,0.9,1.7,2.5,7.9,https://www.basketball-reference.com//players/k/kingst01.html,0.0
1994,28.0,MIN,NBA,PF,50.0,10.0,15.8,2.0,4.2,0.467,0.0,0.0,0.0,2.0,4.2,0.469,0.467,1.4,2.0,0.667,1.1,2.2,3.3,0.5,0.5,0.4,1.3,2.5,5.3,https://www.basketball-reference.com//players/k/kingst01.html,0.0
1995,29.0,MIA,NBA,PF,15.0,0.0,10.4,1.1,2.4,0.47200000000000003,0.0,0.0,,1.1,2.4,0.47200000000000003,0.47200000000000003,0.3,0.5,0.5,0.6,0.9,1.5,0.1,0.5,0.1,1.2,2.6,2.5,https://www.basketball-reference.com//players/k/kingst01.html,0.0
1996,30.0,TOT,NBA,C,11.0,0.0,9.4,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.2,0.6,0.28600000000000003,1.0,1.5,2.5,0.1,0.2,0.1,0.5,1.3,2.2,https://www.basketball-reference.com//players/k/kingst01.html,0.0
1989,22.0,IND,NBA,SF,44.0,0.0,9.4,1.0,3.3,0.313,0.3,0.9,0.325,0.7,2.4,0.308,0.358,0.3,0.4,0.789,0.3,0.7,1.0,1.0,0.4,0.1,0.8,1.3,2.7,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
1990,23.0,IND,NBA,SF,74.0,0.0,14.5,1.8,4.7,0.373,0.6,1.7,0.34700000000000003,1.2,3.1,0.38799999999999996,0.434,0.5,0.7,0.7759999999999999,0.5,1.1,1.6,2.0,0.5,0.1,1.2,1.9,4.6,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
1991,24.0,IND,NBA,SF,51.0,5.0,17.5,2.5,6.1,0.409,0.6,1.8,0.34,1.9,4.3,0.43799999999999994,0.46,1.0,1.3,0.7809999999999999,0.9,1.7,2.6,2.3,0.5,0.2,1.2,1.9,6.6,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
1992,25.0,IND,NBA,SF,78.0,21.0,19.2,2.8,6.7,0.41100000000000003,0.7,2.3,0.32,2.0,4.4,0.45899999999999996,0.467,1.0,1.3,0.735,0.8,1.9,2.6,2.5,0.7,0.1,1.4,2.1,7.2,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
1994,27.0,DAL,NBA,SF,42.0,3.0,19.1,3.4,7.8,0.439,0.8,2.1,0.382,2.6,5.7,0.46,0.491,1.9,2.3,0.833,2.0,1.5,3.5,1.3,0.5,0.2,1.0,1.7,9.6,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
1995,28.0,DAL,NBA,SF,79.0,63.0,36.0,6.7,16.2,0.414,3.3,8.6,0.379,3.5,7.6,0.45299999999999996,0.514,2.3,2.8,0.804,1.5,3.3,4.8,2.7,1.4,0.5,2.1,2.7,18.9,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
1996,29.0,TOT,NBA,SF,64.0,28.0,23.3,3.7,9.0,0.41200000000000003,1.5,4.0,0.39,2.2,5.1,0.429,0.49700000000000005,1.3,1.6,0.8220000000000001,0.6,2.2,2.8,1.7,1.0,0.1,1.0,2.0,10.3,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
1997,30.0,PHO,NBA,SF,63.0,13.0,19.3,2.7,6.8,0.405,1.1,3.3,0.341,1.6,3.5,0.466,0.488,0.6,0.8,0.765,0.7,2.7,3.5,1.3,0.9,0.2,1.0,2.1,7.2,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
1998,31.0,PHO,NBA,SF,48.0,16.0,25.9,3.0,6.8,0.43799999999999994,1.4,3.5,0.41600000000000004,1.5,3.3,0.462,0.545,1.6,1.8,0.862,0.7,2.7,3.4,1.6,0.9,0.3,1.0,2.7,8.9,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
1999,32.0,DEN,NBA,SF,78.0,11.0,27.2,3.4,8.2,0.41700000000000004,1.4,3.6,0.37799999999999995,2.0,4.6,0.44799999999999995,0.501,1.9,2.3,0.818,0.9,2.7,3.7,3.2,0.6,0.3,1.7,2.3,10.1,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
2000,33.0,DEN,NBA,SF,76.0,8.0,26.4,3.3,8.6,0.382,1.0,3.1,0.32899999999999996,2.3,5.5,0.41100000000000003,0.44,2.0,2.4,0.84,0.7,2.2,2.9,3.7,0.7,0.4,1.5,2.2,9.6,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
2001,34.0,DEN,NBA,SF,69.0,26.0,26.5,3.0,8.3,0.358,0.9,3.2,0.27,2.1,5.1,0.41200000000000003,0.41,1.9,2.4,0.81,1.0,2.7,3.6,3.0,0.8,0.3,2.1,2.5,8.8,https://www.basketball-reference.com//players/m/mccloge01.html,0.0
1989,22.0,DAL,NBA,PF,55.0,2.0,12.9,1.7,4.6,0.369,0.0,0.3,0.071,1.7,4.3,0.387,0.371,0.9,1.6,0.562,1.4,1.7,3.1,0.4,0.4,0.1,0.9,2.3,4.3,https://www.basketball-reference.com//players/w/whitera01.html,0.0
1990,23.0,DAL,NBA,PF,79.0,29.0,24.1,3.4,8.4,0.39799999999999996,0.1,0.5,0.162,3.3,7.9,0.41200000000000003,0.40299999999999997,2.0,2.8,0.7070000000000001,2.2,4.2,6.4,0.8,1.0,0.6,1.7,3.9,8.8,https://www.basketball-reference.com//players/w/whitera01.html,0.0
1991,24.0,DAL,NBA,PF,65.0,12.0,15.7,2.2,5.9,0.38,0.1,0.4,0.14800000000000002,2.2,5.5,0.397,0.385,1.9,2.5,0.765,1.5,2.2,3.6,0.5,0.5,0.3,1.0,2.4,6.4,https://www.basketball-reference.com//players/w/whitera01.html,0.0
1992,25.0,DAL,NBA,PF,64.0,20.0,22.4,3.7,8.4,0.435,0.2,0.7,0.23800000000000002,3.5,7.8,0.452,0.444,2.2,2.9,0.75,2.4,3.4,5.8,0.8,1.0,0.7,1.7,3.5,9.7,https://www.basketball-reference.com//players/w/whitera01.html,0.0
1993,26.0,DAL,NBA,PF,18.0,3.0,17.8,2.5,6.2,0.402,0.3,1.1,0.3,2.2,5.1,0.424,0.429,1.1,1.8,0.5760000000000001,1.7,2.9,4.6,0.6,0.6,0.6,1.0,2.6,6.4,https://www.basketball-reference.com//players/w/whitera01.html,0.0
1989,22.0,WSB,NBA,PF,61.0,8.0,13.2,2.1,4.8,0.43700000000000006,0.0,0.0,0.0,2.1,4.8,0.439,0.43700000000000006,1.0,1.6,0.643,1.0,1.8,2.8,0.8,0.2,0.2,0.8,1.6,5.3,https://www.basketball-reference.com//players/h/hammoto01.html,0.0
1990,23.0,WSB,NBA,PF,70.0,7.0,14.6,2.2,4.8,0.461,0.0,0.1,0.0,2.2,4.7,0.467,0.461,0.8,1.1,0.722,0.8,2.1,2.9,0.6,0.2,0.1,0.8,1.5,5.2,https://www.basketball-reference.com//players/h/hammoto01.html,0.0
1991,24.0,WSB,NBA,PF,37.0,19.0,26.6,5.3,10.8,0.488,0.0,0.0,0.0,5.3,10.8,0.489,0.488,1.4,2.2,0.61,1.3,3.7,5.0,1.0,0.6,0.4,1.6,3.2,11.9,https://www.basketball-reference.com//players/h/hammoto01.html,0.0
